,Unnamed: 0,en,cn,ar,pos
985,986,I want to book one ticket for the next flight to *.,我 想 预订 一张 飞往 * 的 下 一班 机票 。,,vp
986,987,I want to check out.,我要 退房 。,أريد أن أدفع لاغادر.,sent
987,988,I want to rent a car.,我 想要 租车 。,أريد ايجار سيارة.,sent
988,989,I want to talk to the * embassy.,我 希望 跟 * 大使馆 联系 。,أود بالتحدث مع سّفارة *.,vp
989,990,I want you to meet *.,我 想 让 你 见见 * 。,,vp
990,991,I will stay for * night(s).,我 打算 住 * 夜 。,سأقيم * ليلى,vp
991,992,I wish you a happy joumey.,祝您 旅途愉快 。,,sent
992,993,I work at the *.,我 在 * 工作 。,أعمل في *.,vp
993,994,I work in government.,我 在 政府部门 上班 。,,sent
994,995,I would like *.,我 想要   * 。,أود *.,vp
995,996,I would like to make flight reservations.,我 想 预订 机票 。,,sent
996,997,I would rather pay.,我 付钱 好 了 。,,sent
997,998,I'd like *.,我 想要 * 。,أنا أحب *.,vp
998,999,I'd like a coffee with sugar.,我 想要 杯 加糖 的 咖啡 。,,sent
999,1000,I'd like a coffee.,我 想要 杯 咖啡 。,,sent
1000,1001,I'd like a decaf.,来 一杯 没有 咖啡因 的 咖啡 。,,sent
1001,1002,"I'd like a refill, please.",请 给 我续 一杯 。,,sent
1002,1003,I'd like a standard room.,我要 一个 标准间 。,,sent
1003,1004,I'd like an aisle seat.,我 想要 一个 走廊 的 座位 。,,sent
1004,1005,I'd like reserve a room facing the sea.,我想 订个 临海 的 房间 。,,sent
1005,1006,I'd like some bananas.,我 想要 些 香蕉 。,,sent
1006,1007,I'd like the beef.,我要 牛肉 。,,sent
1007,1008,I'd like to book a double room.,下 星期二 我想订 一个 双人 房间 。,,sent
1008,1009,I'd like to cancel a reservation.,我 想 取消 预订 。,,sent
1009,1010,I'd like to cancel my order.,我要 取消 我 的 点餐 。,,sent
1010,1011,I'd like to check in.,我要 办理 登记手续 。,,sent
1011,1012,I'd like to get * seats on a flight to *.,我想订 * 张到 * 的 机票 。,,vp
1012,1013,I'd like to have a seat by the window.,我 想要 一个 靠窗 的 座位 。,,sent
1013,1014,I'd like to introduce *.,我来 介绍 一下 * 。,,vp
1014,1015,I'd like to make a reservation.,我 想 预订 房间 。,,sent
1015,1016,I'd like to rent a car.,我 想 租车,أريد ايجار سيارة.,sent
1016,1017,I'd like to reserve a room.,我想订 一间 房 。,,sent
1017,1018,I'd like to reserve some rooms for a tourist party.,我 想 为 一个 旅游团 订 一些 房间 。,,sent
1018,1019,I'd like to see to your manager.,我要 见 你们 经理 。,,sent
1019,1020,I'd like to take the first available flight.,我 想 乘 第一班 飞机 。,,sent
1020,1021,I'd like to take the rest home.,我 想 把 剩下 的 打包 回家 。,,sent
1021,1022,I'd like you to meet a friend of mine.,我 想 让 你 见见 我 的 朋友,,sent
1022,1023,I'll ask the chef to explain to you.,我会 请 主厨 来 向 您 解释 。,,sent
1023,1024,I'll be right back with your order.,我会 立即 为 您 送 上 餐点 。,,sent
1024,1025,I'll bring you another one.,我会 给 你 另外 拿来 一份 。,,sent
1025,1026,I'll call the police.,我会 叫 警察 。,سأتصل بالشرطة‏ ‎.,sent
1026,1027,I'll change it immediately.,我会 立即 更换 。,,sent
1027,1028,I'll check if we have vacancy.,我 看看 是否 还有 空位 。,,sent
1028,1029,I'll check it for you at once.,我 马上 为 您 查询 。,,sent
1029,1030,I'll check your order with the chef.,我会 和 厨师 查对 您 点 的 菜 。,,sent
1030,1031,I'll find a table for you.,我会 为 您 找 一张 桌子 。,,sent
1031,1032,I'll get some medicine for you right away.,我 马上 去 给 你 拿些 药来 。,,sent
1032,1033,I'll get there by date *.,我会 在 * 日 之前 到达 。,,vp
1033,1034,"I'll have a coke, please.",请 给 我 一杯 可乐 。,,sent
1034,1035,"I'll have a glass of lemonade. More ice,please.",我要 一杯 柠檬汁 ， 请多放 一点 冰块 。,,sent
1035,1036,I'll have the chef prepare another one.,我会 请 厨师 准备 另 一份 。,,sent
1036,1037,I'll hurry. Please wait a moment.,我会 快点 的 ， 请稍等 一会儿 。,,sent
1037,1038,I'll log in to the Internet to find out about you. I know your address.,我 还是 上 因特网 去 看吧 。 我 知道 你们 的 网址 。,,sent
1038,1039,I'll need an economy ticket with an open return.,我要 经济舱 ， 回程 时间 不定 的 来回票 。,,sent
1039,1040,I'll return your suggestion to the chef.,我会 向 主厨 反应 你 的 意见 。,,sent
1040,1041,I'll see about your order.,我 这 就 去 看看 你 点 的 菜 。,,sent
1041,1042,I'll send this back to the kitchen and get you a new one.,我会 把 它 送回 厨房 ， 换 拿给 您 为 一份 新 的 。,,sent
1042,1043,I'll show you to your table.,我来 带 您 到 餐桌 。,,sent
1043,1044,I'll tell the kitchen to prepare a new one for you.,我会 告诉 厨房 为 您 再 做 一份 新 的 。,,sent
1044,1045,I'll try to hurry things up.,我会 催促 快些 。,,sent
1045,1046,I'll wait.,我 等 一下 吧 。,,sent
1046,1047,I'm * years old.,我 今年 * 岁 了 。,,vp
1047,1048,I'm a vegetarian.,我 吃素 的 。,أنا نباتي.,sent
1048,1049,I'm afraid all our tables are taken.,恐怕 我们 所有 的 桌子 都 被 占用 着 。,,sent
1049,1050,I'm afraid I'll miss my connecting flight.,我会 赶不上 我下 一段 的 班机 了 。,,sent
1050,1051,I'm afraid it's overweight.,恐怕 超重 了 。,,sent
1051,1052,I'm afraid our hotel is fully booked on that night.,本店 那晚 恐怕 已经 登记 满 了 。,,sent
1052,1053,I'm afraid that area is under preparation.,恐怕 那一区 还 在 准备 中 。,,sent
1053,1054,I'm afraid that table is reserved for * p.m.,恐怕 那张 桌子 晚上 * 点 以后 被 预定 了 。,,vp
1054,1055,I'm afraid there is a mistake.,恐怕 出错 了 吧 。,,sent
1055,1056,I'm afraid We don't have it in stock.,恐怕 已经 没有 存货 了 。,,sent
1056,1057,I'm afraid we have no cocktails now.,现在 恐怕 没有 鸡尾酒 了 。,,sent
1057,1058,I'm afraid we have no more time to wait.,我 想 我们 没 时间 再 等 了 。,,sent
1058,1059,I'm afraid we're out of that item.,恐怕 那种 货 已经 卖完 了 。,,sent
1059,1060,I'm feeling kind of airsick.,我 觉得 晕机 了 。,,sent
1060,1061,"I'm fine, thank you.","很 好 ,   谢谢 。",بخير، شكرا لك.,sent
1061,1062,I'm finished.,我 完成 了 。,لقد انتهيت.,sent
1062,1063,I'm going to have one waitress to serve you.,我 去 安排 一个 服务员 过来 。,,sent
1063,1064,I'm in a hurry.,我要 赶时间 。,,sent
1064,1065,I'm looking for *.,我 在 找 *,أبحث عن *.,vp
1065,1066,I'm lost.,我 迷路 了 。,أنا تائه.,sent
1066,1067,I'm not feeling well.,我 不 舒服,أنا لست على ما يرام.,sent
1067,1068,I'm not happy about the dish.,我 对 这 菜 不 满意 。,,sent
1068,1069,I'm not hungry.,我 不 饿 。,,sent
1069,1070,I'm not interested.,我 没有 兴趣 。,أنا لست مهتم.,sent
1070,1071,I'm not sure.,我 不 确定 。,,sent
1071,1072,I'm not sure. Maybe.,我 不 确定 ， 也许 。,,sent
1072,1073,I'm not very happy with the quality of the food here.,我 对 这里 的 饭菜 质量 非常 的 不 满意 。,,sent
1073,1074,I'm sick.,我 生病 了 。,انا مريض.,sent
1074,1075,I'm sorry to say that I have to cancel it.,我 很 抱歉 ， 我 不得不 取消 这个 预定 。,,sent
1075,1076,"I'm sorry, but there are no window seats available.",很 抱谦 ， 没有 靠窗 的 座位 了 。,,sent
1076,1077,I'm sorry.,对不起 。,أنا آسف.,sent
1077,1078,I'm very sorry for the mistake.,很 抱歉 搞错 了 。,,sent
1078,1079,I'm very sorry to have kept you waiting.,很 抱歉 让 您 一直 等 着 。,,sent
1079,1080,"I'm very sorry, Sir, but we are unable to do that. We would appreciate it very much if you could call us instead.",先生 ， 非常 抱歉 ， 我们 不能 那样 做 ， 如果 您 能 打电话 来 ， 我们 将会 非常感激 。,,sent
1080,1081,I'm waiting for my luggage.,我 在 等 我 的 行李 。,,sent
1081,1082,I'm with *.,我 现在 跟 * 在 一起,أنا مع *.,vp
1082,1083,I've been injured.,我 受伤 了 。,إنني مصاب.,sent
1083,1084,I've been waiting for a long time but nobody came to serve me.,我们 已经 等 了 很 长时间 了 ， 但 没人来 为 我们 服务 。,,sent
1084,1085,I've been waiting half an hour for my order.,从 我点 餐到 现在 等 了 半个 小时 了 。,,sent
1085,1086,I've checked with the kitchen.,我 已经 与 厨房 检查 过 了 。,,sent
1086,1087,I've lost *.,我 的 * 不见 了,أنا فقدت *.,vp
1087,1088,I've made a reservation at your restaurant.,我 已经 在 你们 餐厅 预订 过 了 。,,sent
1088,1089,ice tongs,冰 夹,,np
1089,1090,iced banana americano,香蕉冰 美式,,np
1090,1091,iced blackberry latte,黑莓 冰 咖啡 拿 铁,,np
1091,1092,iced cafe americano,冰 美式 咖啡,,np
1092,1093,iced cafe latte,冰拿铁 咖啡,,np
1093,1094,iced cappuccino,冰 卡布奇诺,,np
1094,1095,iced caramel cappuccino,冰 焦糖 卡布奇诺,,np
1095,1096,iced caramel latte,冰 焦糖 咖啡 拿 铁,,np
1096,1097,iced cherry latte,樱桃 冰 咖啡 拿 铁,,np
1097,1098,iced chocolate coffee,巧克力 冰 咖啡,,np
1098,1099,iced coconut latte,椰子 冰 咖啡 拿 铁,,np
1099,1100,iced coffee,冰 咖啡,,np
1100,1101,iced espresso,浓缩 冰 咖啡,,np
1101,1102,iced fruit cappuccino,果味 冰 卡布奇诺,,np
1102,1103,iced fruit latte,冰 果味 咖啡 拿 铁,,np
1103,1104,iced hazelnut cappuccino,冰 榛子 卡布奇诺,,np
1104,1105,iced hazelnut latte,冰 榛子 咖啡 拿 铁,,np
1105,1106,iced vanilla cappuccino,冰 香草 卡布奇诺,,np
1106,1107,iced vanilla latte,冰 香草 咖啡 拿 铁,,np
1107,1108,Iceland,冰岛,أيسلندا,np
1108,1109,id card,身份证,,np
1109,1110,"If you can't come back within a month, we won't keep it for you.",如果 一个月 之内 ， 您 不来领 的话 ， 我们 将 不再 替 您 保存 。,,sent
1110,1111,"If you don't like the taste of it, perhaps I could get you something else?",如果 您 不 喜欢 这 口味 ， 或许 我 给 你 换成 其他 的 ?,,sent
1111,1112,"If You Forget To Pack Any Standard Toiletry Item（Toothbrush, Toothpaste, Shaving Cream, Razor Or Comb）, Just Call The Front Desk And We'll Get You A Complimentary Repacement Right Away.",如果 您 忘 了 把 洗漱 物品 打入 您 的 包裹 （ 如 牙刷 ， 牙膏 ， 剃须 膏 ， 剃须刀 或 梳子 ） ， 请 给 前台 电话 ， 我们 可以 立即 提供 赠送 替代品 。,,sent
1112,1113,ilyusin,依柳辛,,np
1113,1114,in,英寸,,np
1114,1115,In aisle *.,在 第 * 通道 。,,vp
1115,1116,In whose name was the reservation?,用 谁 的 名字 预订 的 ?,,sent
1116,1117,In-Flight.,飞行 中 。,,sent
1117,1118,in-job training,在职 培训,,np
1118,1119,In-Room Coffee Maker.,室内 咖啡机 。,,sent
1119,1120,Including breakfast and room service.,包括 早餐 和 服务费 。,,sent
1120,1121,India,印度,الهند,np
1121,1122,Indonesia,印度尼西亚,أندونيسيا,np
1122,1123,Indoor Swimming Pools.,室内 泳池 。,,sent
1123,1124,industrious,勤奋 的,,np
1124,1125,Information,问询处 / 咨询台,,sent
1125,1126,information,问讯处,,np
1126,1127,ingenious,有 独创性 的,,np
1127,1128,ingredients,配料,,np
1128,1129,inquiries,问讯处,,np
1129,1130,Insert Or Swipe Key.,将 钥匙卡 插入 或 擦 过 处理机 。,,sent
1130,1131,inspection,检查,,np
1131,1132,instant coffee,速溶 咖啡,,np
1132,1133,intern,实习生,,np
1133,1134,international airport,国际 机场,,np
1134,1135,international departure,国际航班 出港,,np
1135,1136,international flight,国际 班机,,np
1136,1137,international passenger lobby,国际 旅客 候机厅,,np
1137,1138,International Passenger Lobby.,国际 旅客 候机厅 。,,sent
1138,1139,international passengers,国际航班 旅客,,np
1139,1140,international terminal,国际 候机楼,,np
1140,1141,intersection,交界,تقاطع,np
1141,1142,Introducing High-Speed Internet Access.,高速 上网 介绍 。,,sent
1142,1143,iodized salt,加碘盐,,np
1143,1144,Iran,伊朗,إيران,np
1144,1145,Iraq,伊拉克,العراق,np
1145,1146,Ireland,爱尔兰,أيرلندا,np
1146,1147,Is breakfast included?,包含 早餐 吗 ？,هل يتضمن ذلك الإفطار؟,sent
1147,1148,Is insurance included?,包含 保险 吗 ？,هل هذا شامل التأمين؟,sent
1148,1149,Is it a direct flight?,是 直飞 航班 吗 ?,,sent
1149,1150,Is it free of charge?,续杯 是 免费 的 吗 ?,,sent
1150,1151,Is it open on *?,* 对外开放 吗 ？,هل هو مفتوح *؟,vp
1151,1152,Is it possible for you to change your reservation date?,你 可不可以 改变 预约 日期 呢 ?,,sent
1152,1153,Is the supermarket open today?,超市 今天 开门 吗 ?,,sent
1153,1154,Is there * around here?,附近 有没有 *,هل هناك * قريب؟,vp
1154,1155,Is there * you recommend?,你 有 推介 的 * 吗 ？,هل هناك * تنصحني به؟,vp
1155,1156,Is there a cafe near by?,请问 附近 有没有 咖啡店 ？,,sent
1156,1157,Is there a group discount?,有没有 团体 折扣 ？,هل هناك خصم للمجموعات؟,sent
1157,1158,Is there a local specialty?,有没有 当地 特色 ？,هل هناك تخصص محلي؟,sent
1158,1159,Is there a student discount?,有没有 学生 优惠 ？,هل هناك خصم للطلاب؟,sent
1159,1160,Is there another flight available?,现在 还有 别的 班机 可以 坐 吗 ?,,sent
1160,1161,Is there anything else to do before flight time?,在 起飞前 还有 其他 手续 要 办 吗 ?,,sent
1161,1162,Is there anywhere I can leave luggage?,有没有 地方 让 我 放 行李 ？,هل هناك مكان أترك فيه أغراضي؟,sent
1162,1163,Is there someone here who speaks English?,这里 有人 会 说 英语 吗 ？,هل هناك أحد يتحدث الانجليزية؟,sent
1163,1164,Is there table service?,有没有 餐桌 服务 ？,هل هناك خدمة طاولات؟,sent
1164,1165,Is this seat *?,这个 座位 是 * 吗 ?,,vp
1165,1166,Is this seat free?,这里 有人 坐 吗 ？,هل هذا المقعد خالى؟,sent
1166,1167,Is this table all right?,这张 桌子 可以 吗 ?,,sent
1167,1168,Is this the right counter to check in at?,是 在 这儿 检票 吗 ?,,sent
1168,1169,Islamabad,伊斯兰堡,اسلام اباد,np
1169,1170,Israel,以色列,إسرائيل,np
1170,1171,Istanbul,伊斯坦布尔,اسطنبول,np
1171,1172,It doesn't matter. This one will do.,没关系 ， 那 就 这 张 吧 。,,sent
1172,1173,It hurts here.,这里 很痛,أشعر بالألم هنا.,sent
1173,1174,It is a prohibited item.,这是 违禁品 。,,sent
1174,1175,It is at the entrance.,就 在 入口处 。,,sent
1175,1176,It is nine in the morning.,现在 是 早上 9 点钟 。,هي التاسعة صباحاً,sent
1176,1177,It is very hard to find a seat in this restaurant in the evening.,晚上 在 这家 餐厅 很难 找到 座位 。,,sent
1177,1178,It seems that the seafood has gone bad.,海鲜 好像 坏 了 。,,sent
1178,1179,It was a misunderstanding.,这是 误会 。,كان سوء تفاهم,sent
1179,1180,It was delicious.,很 好吃 。,كان لذيذ‏ ‎,sent
1180,1181,It was nice meeting you.,认识 你 很 高兴 。,,sent
1181,1182,It's * dollars per night.,每晚 * 元 。,,vp
1182,1183,It's * kilos.,* 公斤 。,,vp
1183,1184,It's a green suitcase with wheels.,它 是 有 轮子 的 绿色 行李箱 。,,sent
1184,1185,It's all right.,很 好 。,,sent
1185,1186,It's an emergency.,这是 紧急情况 。,إنها حالة طارئة.,sent
1186,1187,It's at the end of this aisle.,在 这条 通道 的 尽头 。,,sent
1187,1188,It's boarding now.,现在 正在 登机 。,,sent
1188,1189,It's okay.,没关系 。,لا بأس,sent
1189,1190,It's over there next to the window.,就 在 那里 ， 靠窗 的 那 一个 。,,sent
1190,1191,It's pleasure to meet you.,很 高兴 认识 ( 遇见 ) 你 。,,sent
1191,1192,It's uncomfortable.,不 舒服 。,إنه غير مريح.,sent
1192,1193,italian coffee,意大利 咖啡,,np
1193,1194,Italy,意大利,إيطاليا,np
1194,1195,itchy,痒,يحكك,adj
1195,1196,Ivory Coast,象牙海岸,ساحل العاج,np
1196,1197,Jaipur,斋浦尔,جايبور,np
1197,1198,Jakarta,雅加达,جاكرتا,np
1198,1199,jam,果酱,,np
1199,1200,Jamaica,牙买加,جامايكا,np
1200,1201,jamaican coffee,牙买加 咖啡,,np
1201,1202,January,一月,يناير,np
1202,1203,Japan,日本,اليابان,np
1203,1204,Jerusalem,耶路撒冷,بيت المقدس,np
1204,1205,jet aircraft,喷气式 飞机,,np
1205,1206,jetway,飞机 跑道,,np
1206,1207,jobless,无业,,np
1207,1208,Johannesburg,约翰内斯堡,جوهانسبرج,np
1208,1209,Jordan,约旦,الأردن,np
1209,1210,juice,果汁,عصير,np
1210,1211,juice glass,果汁 杯,,np
1211,1212,July,七月,يوليو,np
1212,1213,June,六月,يونيو,np
1213,1214,Just a minute and I'll see if there are any flights.,请等一下 ， 让 我 看看 是否 有 航班 。,,sent
1214,1215,Just a minute. Let me check.,请等一下 ， 让 我 看看 。,,sent
1215,1216,"Just a monent,please. Let me check for you.",请稍等 ， 我来 为 您 查 一下 。,,sent
1216,1217,Just a second and I will check the schedule.,稍 等 一会儿 ， 我查 一下 时间表 。,,sent
1217,1218,Just let me know if you need anything else.,如果 你 需要 其他 什么 东西 ， 就 告诉 我 。,,sent
1218,1219,Just Let Our Manager On Duty Or Front Desk Staff Know If Any Part Of Your Stay Isn't Satisfactory.,如果 某处 不尽人意 请 告诉 我们 的 值班 经理 或 前台 服务 人员 。,,sent
1219,1220,Just make sure you don't have any liquid with you.,我 只是 要 确定 你 没有 携带 液体 。,,sent
1220,1221,Just one brother.,只有 一个 哥哥 。,,sent
1221,1222,Just relax a little bit.,放松 点 。,,sent
1222,1223,Just this one.,就 这 一个 。,,sent
1223,1224,Kanpur,坎 普尔,كانبور,np
1224,1225,Karachi,卡拉奇,كراتشي,np
1225,1226,Kathmandu,加德满都,كاتماندو,np
1226,1227,Kazakhstan,哈萨克斯坦,كازاخستان,np
1227,1228,keep away from fire,切勿 近火,,np
1228,1229,Keep Away From Water.,谨防 沾水 。,,sent
1229,1230,keep dry,保持 干燥,,np
1230,1231,keep left,靠左,,np
1231,1232,keep right,靠右,,np
1232,1233,keep silence,保持 安静,,np
1233,1234,keep top side up,请勿 倒立,,np
1234,1235,Kenya,肯尼亚,كينيا,np
1235,1236,ketchup,番茄酱,,np
1236,1237,Kingston,金士顿,كينغستون,np
1237,1238,Kiribati,基里巴斯,كيريباس,np
1238,1239,Kitchener,基奇纳,كيتشنر,np
1239,1240,Kolkata,加尔各答,كولكاتا,np
1240,1241,Kosovo,科索沃,كوسوفو,np
1241,1242,Kuala Lumpur,吉隆坡,كوالا لامبور,np
1242,1243,Kuwait,科威特,الكويت,np
1243,1244,Kyrgyzstan,吉尔吉斯斯坦,قرغيزستان,np
1244,1245,"Ladies and gentlemen, we are approaching an area of turbulence.",各位 旅客 请 注意 ， 本 班机 即将 行经 乱流 区 。,,sent
1245,1246,ladle,长 把 勺,,np
1246,1247,Lagos,拉各斯,لاغوس,np
1247,1248,Lahore,拉合尔,لاهور,np
1248,1249,landing,着陆,,np
1249,1250,lane,胡同,,np
1250,1251,Laos,老挝,لاوس,np
1251,1252,lap-top,手提电脑,,np
1252,1253,Laptop computers must be removed from carry-on and placed on X-ray.,笔记本电脑 从 随身行李 取出 接受 X光 安检 。,,sent
1253,1254,last week,上个星期,الأسبوع الماضي,np
1254,1255,later,迟 一点,لاحقاً,adv
1255,1256,Latvia,拉脱维亚,لاتفيا,np
1256,1257,laundry,洗衣店,,np
1257,1258,Laundry Service.,提供 洗烫 服务 。,,sent
1258,1259,lavatory,盥洗室,,np
1259,1260,lavender cappuccino,薰衣草 卡布奇诺,,np
1260,1261,lavender latte,薰衣草 咖啡 拿 铁,,np
1261,1262,Leave me alone.,不要 打扰 我 。,اتركني وحدي.,sent
1262,1263,Lebanon,黎巴嫩,لبنان,np
1263,1264,left,左边,يسار,adv
1264,1265,left baggage,行李 寄存,,np
1265,1266,Left Baggage.,行李 寄存 。,,sent
1266,1267,legislators &administrators,行政 管理人员,,np
1267,1268,legs,腿,أرجل,np
1268,1269,Leicester,莱斯特,ليستر,np
1269,1270,lemon,柠檬,,np
1270,1271,Lesotho,莱索托,ليسوتو,np
1271,1272,less,少,اقل,adj
1272,1273,less than,少于,أقل من,adj
1273,1274,Let me check the availability.,让 我 看看 还有 票 吗 。,,sent
1274,1275,Let me help you with your luggage.,让 我 帮 你 拿 行李 吧 。,,sent
1275,1276,Let me introduce you to eath other.,让 我 来 给 你们 相互 介绍 。,,sent
1276,1277,Let me see.,让 我 看 一下 。,دعنى ارى.,sent
1277,1278,Let us raise the glass to friendship.,为 我们 的 友谊 举杯 。,,sent
1278,1279,Let's change restaurants.,我们 换个 饭店 吧 。,,sent
1279,1280,Let's choose the least expensive restaurant today.,我们 今天 选家 最 便宜 的 餐馆 吧 。,,sent
1280,1281,Let's get a shopping cart first.,我们 先去 找个 购物车 。,,sent
1281,1282,Let's go for coffee.,我们 去 喝杯 咖啡吧 。,,sent
1282,1283,Let's go grocery shopping,我们 去 超市 买 东西 吧,,sent
1283,1284,Let's go to the parking space directly.,我们 直接 去 停车场 吧 。,,sent
1284,1285,Let's go to the supermarket.,我们 去 超市 吧 。,,sent
1285,1286,Let's have a toast!,让 我们 来 干 一杯 !,,sent
1286,1287,Let's just have another toast.,让 我们 再次 举杯 庆祝 。,,sent
1287,1288,Let's stop at a coffee shop.,让 我们 在 咖啡店 歇会儿 。,,sent
1288,1289,Liberia,利比里亚,ليبيريا,np
1289,1290,Libya,利比亚,ليبيا,np
1290,1291,Liechtenstein,列支敦士登,ليختنشتاين,np
1291,1292,Lima,利马,ليما,np
1292,1293,Lisbon,里斯本,لشبونة,np
1293,1294,Lithuania,立陶宛,ليتوانيا,np
1294,1295,Liverpool,利物浦,ليفربول,np
1295,1296,lockers,储物柜,خزانات,np
1296,1297,London,伦敦,لندن,np
1297,1298,Look out!,小心 ！,انتبه!,sent
1298,1299,lost and found,失物招领 处,,np
1299,1300,Lost Child Information.,走失 儿童 认领 。,,sent
1300,1301,lost property,失物招领,,np
1301,1302,lounge pavilion,贵宾 候机 亭,,np
1302,1303,Lounge Pavilion.,贵宾 候机 亭 。,,sent
1303,1304,Lucknow,勒克瑙,لكناو,np
1304,1305,luggage,行李,,np
1305,1306,Luggage Car.,行李车 。,,sent
1306,1307,luggage cart,行李 推车,,np
1307,1308,luggage claim,行李 领取 处,,np
1308,1309,Luggage Delivery.,行李 交付 。,,sent
1309,1310,luggage depository,行李 存放处,,np
1310,1311,luggage from flights,到 港 行李,,np
1311,1312,Luggage Inspection.,行李 检查 台 。,,sent
1312,1313,luggage locker,行李 暂存 箱,,np
1313,1314,luggage pick up,取 行李,,np
1314,1315,luggage reclaim,取 行李,,np
1315,1316,Luggage Storage (Counter).,行李 寄存 （ 处 ） 。,,sent
1316,1317,Luggage Weighting.,行李 称重 处 。,,sent
1317,1318,lunch,午饭,غداء,np
1318,1319,Luxembourg,卢森堡,لوكسمبورغ,np
1319,1320,Lyon,里昂,ليون,np
1320,1321,macaroni,通粉,معكرونة,np
1321,1322,Macau,澳门,ماكاو,np
1322,1323,Macedonia,马其顿,مقدونيا,np
1323,1324,Madagascar,马达加斯加,مدغشقر,np
1324,1325,Madrid,马德里,مدريد,np
1325,1326,maggi,美极油,,np
1326,1327,main lobby,主 候机厅,,np
1327,1328,major,主修,,np
1328,1329,Making Your Stay A Complete Success Is Our Goal.,让 您 居住 的 完全 满意 是 我们 的 宗旨 。,,sent
1329,1330,Malawi,马拉维,مالاوي,np
1330,1331,Malaysia,马来西亚,ماليزيا,np
1331,1332,Maldives,马尔代夫,جزر المالديف,np
1332,1333,male,男 的,الذكر,np
1333,1334,Mali,马里,مالي,np
1334,1335,Malta,马耳他,مالطا,np
1335,1336,Manager On Duty.,值班 经理 。,,sent
1336,1337,Manchester,曼彻斯特,مانشستر,np
1337,1338,mango,芒果,مانجو,np
1338,1339,mango mocha,芒果 摩卡 咖啡,,np
1339,1340,Manila,马尼拉,مانيلا,np
1340,1341,Many cafes are now equipped with Wi-Fi.,现在 很多 咖啡店 都 装有 无线网络 。,,sent
1341,1342,March,三月,مارس,np
1342,1343,marital status,婚姻状况,,np
1343,1344,marmalade,酸 果酱,,np
1344,1345,marriage,婚姻,,np
1345,1346,married,已婚,,np
1346,1347,Marseille,马赛,مرسيليا,np
1347,1348,Marshall Islands,马绍尔群岛,جزر مارشال,np
1348,1349,master,硕士,,np
1349,1350,Mauritania,毛里塔尼亚,موريتانيا,np
1350,1351,Mauritius,毛里求斯,موريشيوس,np
1351,1352,Maximum storage.,最高 限重 。,,sent
1352,1353,May,五月,مايو,np
1353,1354,May I ask where you come from?,我 可以 问 一下 你 从 哪里 来 吗 ?,,sent
1354,1355,May I check in here for flight to *?,这里 是 去 * 的 航班 登机 手续 办理 处 吗 ?,,vp
1355,1356,May I get a high chair for the baby?,我 可以 给 婴儿 拿个 高脚 椅 吗 ?,,sent
1356,1357,May I have a bottle of *?,可以 来 一瓶 * 吗 ？,هل لي بالحصول على قارورة *؟,vp
1357,1358,May I have a cup of *?,可以 来 一杯 * 吗 ？,هل لي بالحصول على كوب من *؟,vp
1358,1359,May I have a doggy bag?,我 可以 打包 吗 ?,,sent
1359,1360,"May I have a drink, please?",给 我 一些 饮料 可以 吗 ?,,sent
1360,1361,May I have a glass of *?,可以 来 一杯 * 吗 ？,هل لي بالحصول على كأس من *؟,vp
1361,1362,"May I have another black coffee, please?",请 再 给 我 一杯 黑 咖啡 好 吗 ？,,sent
1362,1363,May I have some *?,可以 来 一点 * 吗 ？,هل لي بالحصول على القليل من *؟,vp
1363,1364,"May I have your name and phone number, please?",能 告诉 我 你 的 名字 和 电话 吗 ?,,sent
1364,1365,"May I have your name, please?",请 把 你 的 名字 告诉 我 好 吗 ?,هل لي بإسمك، رجاء؟,sent
1365,1366,May I have your name?,请问 您 的 姓名 ?,هل لي بإسمك؟,sent
1366,1367,May I have your passport please?,可以 给 我 您 的 护照 吗 。,هل بوسعيّ أخذ جواز سفرك، لو سمحت؟,sent
1367,1368,May I have your telephone number and address?,我 可以 得到 你 的 电话号码 和 地址 吗 ?,,sent
1368,1369,May I help you?,我能 为 你 效劳 吗 ?,,sent
1369,1370,"May I please ask, what is your name?",请问 你 叫 什么 名 ?,هل لي بالسؤال، ما هو اسمك؟,sent
1370,1371,May I see the room first?,请问 我 可以 先看 一下 房间 吗 ？,هل لي برؤية الغرفة أولاً؟,sent
1371,1372,"May I see your passport, please?",可以 看看 你 的 护照 吗 ?,,sent
1372,1373,mcdonald-douglas,麦道,,np
1373,1374,Me too.,我 也 是,أنا أيضاً,sent
1374,1375,Mecca,麦加,مكة المكرمة,np
1375,1376,Medellin,麦德林,ميديلين,np
1376,1377,Medical emergency,医疗 急诊,طارئ طبي,np
1377,1378,Melbourne,墨尔本,ملبورن,np
1378,1379,men,男人,رجال,np
1379,1380,men's bathroom,男厕,,np
1380,1381,menu,菜单,,np
1381,1382,metallic,金属 的,,np
1382,1383,Mexico,墨西哥,المكسيك,np
1383,1384,Mexico City,墨西哥城,المكسيك المدينة,np
1384,1385,Micronesia,密克罗尼西亚,ميكرونيزيا,np
1385,1386,midnight,半夜,منتصف الليل,np
1386,1387,Milan,米兰,ميلان,np
1387,1388,milk,牛奶,حليب,np
1388,1389,million,一百万,مليون,num
1389,1390,minor,副 修,,np
1390,1391,miss,小姐,,np
1391,1392,Missing People Help Line.,走失 求救 热线 。,,sent
1392,1393,mobile telephone,移动电话,,np
1393,1394,modest,谦虚 的,,np
