en,cn,ar,pos
"Ladies and gentlemen, we are approaching an area of turbulence.",各位旅客请注意，本班机即将行经乱流区。,,sent
ladle,长把勺,,np
Lagos,拉各斯,لاغوس,np
Lahore,拉合尔,لاهور,np
landing,着陆,,np
lane,胡同,,np
Laos,老挝,لاوس,np
lap-top,手提电脑,,np
Laptop computers must be removed from carry-on and placed on X-ray.,笔记本电脑从随身行李取出接受X光安检。,,sent
last week,上个星期,الأسبوع الماضي,np
later,迟一点,لاحقاً,adv
Latvia,拉脱维亚,لاتفيا,np
laundry,洗衣店,,np
Laundry Service.,提供洗烫服务。,,sent
lavatory,盥洗室,,np
lavender cappuccino,薰衣草卡布奇诺,,np
lavender latte,薰衣草咖啡拿铁,,np
Leave me alone.,不要打扰我。,اتركني وحدي.,sent
Lebanon,黎巴嫩,لبنان,np
left,左边,يسار,adv
left baggage,行李寄存,,np
legislators &administrators,行政管理人员,,np
legs,腿,أرجل,np
Leicester,莱斯特,ليستر,np
lemon,柠檬,,np
Lesotho,莱索托,ليسوتو,np
less,少,اقل,adj
less than,少于,أقل من,adj
Let me check the availability.,让我看看还有票吗。,,sent
Let me help you with your luggage.,让我帮你拿行李吧。,,sent
Let me introduce you to eath other.,让我来给你们相互介绍。,,sent
Let me see.,让我看一下。,دعنى ارى.,sent
Let us raise the glass to friendship.,为我们的友谊举杯。,,sent
Let's change restaurants.,我们换个饭店吧。,,sent
Let's choose the least expensive restaurant today.,我们今天选家最便宜的餐馆吧。,,sent
Let's get a * first.,我们先去找个*。,,sent
Let's go for coffee.,我们去喝杯咖啡吧。,,sent
Let's go grocery shopping,我们去超市买东西吧,,sent
Let's go to the parking space directly.,我们直接去停车场吧。,,sent
Let's go to the *.,我们去*吧。,لنذهب الى *.,vp
Let's have a toast!,让我们来干一杯!,,sent
Let's stop at a *.,让我们在*歇会儿。,دعونا نتوقف عند *.,sent
Liberia,利比里亚,ليبيريا,np
Libya,利比亚,ليبيا,np
Liechtenstein,列支敦士登,ليختنشتاين,np
Lima,利马,ليما,np
Lisbon,里斯本,لشبونة,np
Lithuania,立陶宛,ليتوانيا,np
Liverpool,利物浦,ليفربول,np
lockers,储物柜,خزانات,np
London,伦敦,لندن,np
Look out!,小心！,انتبه!,sent
lost and found,失物招领处,,np
Lost Child Information.,走失儿童认领。,,sent
lost property,失物招领,,np
lounge pavilion,贵宾候机亭,,np
Lucknow,勒克瑙,لكناو,np
luggage,行李,,np
Luggage Car.,行李车。,,sent
luggage cart,行李推车,,np
luggage claim,行李领取处,,np
Luggage Delivery.,行李交付。,,sent
luggage depository,行李存放处,,np
luggage from flights,到港行李,,np
Luggage Inspection.,行李检查台。,,sent
luggage locker,行李暂存箱,,np
luggage pick up,取行李,,np
luggage reclaim,取行李,,np
Luggage Storage (Counter).,行李寄存（处）。,,sent
Luggage Weighting.,行李称重处。,,sent
lunch,午饭,غداء,np
Luxembourg,卢森堡,لوكسمبورغ,np
Lyon,里昂,ليون,np
macaroni,通粉,معكرونة,np
Macau,澳门,ماكاو,np
Macedonia,马其顿,مقدونيا,np
Madagascar,马达加斯加,مدغشقر,np
Madrid,马德里,مدريد,np
maggi,美极油,,np
main lobby,主候机厅,,np
major,主修,,np
Making Your Stay A Complete Success Is Our Goal.,让您居住的完全满意是我们的宗旨。,,sent
Malawi,马拉维,مالاوي,np
Malaysia,马来西亚,ماليزيا,np
Maldives,马尔代夫,جزر المالديف,np
male,男的,الذكر,np
Mali,马里,مالي,np
Malta,马耳他,مالطا,np
Manager On Duty.,值班经理。,,sent
Manchester,曼彻斯特,مانشستر,np
mango,芒果,مانجو,np
mango mocha,芒果摩卡咖啡,,np
Manila,马尼拉,مانيلا,np
All rooms have Wi-Fi.,所有房间都有Wifi。,جميع الغرف مزودة بخدمة الواي فاي.,sent
March,三月,مارس,np
marital status,婚姻状况,,np
marmalade,酸果酱,,np
marriage,婚姻,,np
married,已婚,,np
Marseille,马赛,مرسيليا,np
Marshall Islands,马绍尔群岛,جزر مارشال,np
master,硕士,,np
Mauritania,毛里塔尼亚,موريتانيا,np
Mauritius,毛里求斯,موريشيوس,np
What happened?,发生了什么？,ماذا حدث؟,vp
Maximum storage.,最高限重。,,sent
May,五月,مايو,np
May I ask where you come from?,我可以问一下你从哪里来吗?,,sent
May I check in here for flight to *?,这里是去*的航班登机手续办理处吗?,,vp
May I get a high chair for the baby?,我可以给婴儿拿个高脚椅吗?,,sent
May I have a bottle of *?,可以来一瓶*吗？,هل لي بالحصول على قارورة *؟,vp
May I have a cup of *?,可以来一杯*吗？,هل لي بالحصول على كوب من *؟,vp
May I have a doggy bag?,我可以打包吗?,,sent
"May I have a drink, please?",给我一些饮料可以吗?,,sent
May I have a glass of *?,可以来一杯*吗？,هل لي بالحصول على كأس من *؟,vp
"May I have another black coffee, please?",请再给我一杯黑咖啡好吗？,,sent
May I have some *?,可以来一点*吗？,هل لي بالحصول على القليل من *؟,vp
"May I have your name and phone number, please?",能告诉我你的名字和电话吗?,,sent
"May I have your name, please?",请把你的名字告诉我好吗?,هل لي بإسمك، رجاء؟,sent
May I have your name?,请问您的姓名?,هل لي بإسمك؟,sent
May I have your passport please?,可以给我您的护照吗。,هل بوسعيّ أخذ جواز سفرك، لو سمحت؟,sent
May I have your telephone number and address?,我可以得到你的电话号码和地址吗?,,sent
May I help you?,我能为你效劳吗?,,sent
"May I please ask, what is your name?",请问你叫什么名?,هل لي بالسؤال، ما هو اسمك؟,sent
May I see the room first?,请问我可以先看一下房间吗？,هل لي برؤية الغرفة أولاً؟,sent
"May I see your passport, please?",可以看看你的护照吗?,,sent
mcdonald-douglas,麦道,,np
Me too.,我也是,أنا أيضاً,sent
Mecca,麦加,مكة المكرمة,np
Medellin,麦德林,ميديلين,np
Medical emergency,医疗急诊,طارئ طبي,np
Melbourne,墨尔本,ملبورن,np
men,男人,رجال,np
men's bathroom,男厕,,np
menu,菜单,,np
metallic,金属的,,np
Mexico,墨西哥,المكسيك,np
Mexico City,墨西哥城,المكسيك المدينة,np
Micronesia,密克罗尼西亚,ميكرونيزيا,np
midnight,半夜,منتصف الليل,np
Milan,米兰,ميلان,np
milk,牛奶,حليب,np
million,一百万,مليون,num
minor,副修,,np
miss,小姐,,np
Missing People Help Line.,走失求救热线。,,sent
mobile telephone,移动电话,,np
modest,谦虚的,,np
Moldova,摩尔多瓦,مولدوفا,np
Monaco,摩纳哥,موناكو,np
Monday,星期一,الاثنين,np
money,金钱,مال,np
money exchange,货币兑换处,,np
Mongolia,蒙古,منغوليا,np
Montenegro,黑山,الجبل الأسود,np
month,月,,np
Montpellier,蒙彼利埃,مونبلييه,np
Montreal,蒙特利尔,مونتريال,np
more,更,أكثر,adj
more than,多于,أكثر من,adj
morning,早上,صباح,np
Morning. May I help you?,早上好，请问有什么可以帮你的吗?,,sent
Morocco,摩洛哥,المغرب,np
Moscow,莫斯科,موسكو,np
mother,妈妈,,np
mother-in-law,婆婆,,np
Mozambique,莫桑比克,موزمبيق,np
mr,先生,,np
mrs,太太,,np
ms,小姐,,np
msg,味精,,np
Much better. Thank you.,好多了，谢谢。,,sent
Mumbai,孟买,مومباي,np
Munich,慕尼黑,ميونيخ,np
mustard,芥末,,np
mutton,羊肉,لحم الضأن,np
My car is waiting outside.,我的车停在外面。,,sent
My fish is not cooked enough.,我的鱼没做熟。,,sent
My job is to teach students.,我的工作是教学生。,,sent
My name is * .,我叫 * 。,أنا اسمي *.,vp
My nationality is *.,我的国籍是*。,جنسيتي هي *.,vp
My number is *.,我的电话*。,,vp
My parents and my younger sister.,父母和我的妹妹。,,sent
My steak is raw.,我的牛排是生的。,,sent
My steak is tough and overdone.,我的牛排太硬过熟了。,,sent
My surname is *.,我姓 *。,لقبي هو *.,vp
My telephone number is *.,我的电话号码是*。,رقم هاتفي هو *.,vp
Myanmar,缅甸,ميانمار,np
nails,指甲,أظافر,np
Nairobi,内罗毕,نيروبي,np
name,姓名,,np
name of passenger,旅客姓名,,np
Namibia,纳米比亚,ناميبيا,np
Nantes,南特,نانت,np
napkin,餐巾,,np
national ID,证件,الهوية الوطنية,np
nationality,国籍,جنسية,np
native place,籍贯,المكان الأصلي,np
Nauru,瑙鲁,ناورو,np
neck,脖子,رقبة,np
Nepal,尼泊尔,نيبال,np
nephew,侄儿,,np
net weight,净重,,np
Netherlands,荷兰,هولندا,np
New York City,纽约市,نيويورك,np
New Zealand,新西兰,نيوزيلاندا,np
Newcastle,新城堡,نيوكاسل,np
newspaper,报纸,جرائد,np
next week,下个星期,الأسبوع القادم,np
Nicaragua,尼加拉瓜,نيكاراغوا,np
Nice,不错。,لطيف.,sent.
Nice to meet you.,很高兴认识你。,سعيد بالتعرف عليك.,sent
niece,侄女,,np
Niger,尼日尔,النيجر,np
Nigeria,尼日利亚,نيجيريا,np
night,晚上,ليلة,np
Night Porter On Duty.,夜间有行李搬运服务生。,,sent
nine,九,تسعة,num
no admittance,闲人免进,,np
no bills,不准张贴,,np
"No cream, please.",请不要加奶油。,,sent
no entry,禁止入内,,np
no honking,禁止鸣喇叭,,np
no litter,勿乱扔杂物,,np
No parking.,禁止停车,ممنوع الوقوف,sent
no passing,禁止通行,,np
no photos,请勿拍照,,np
No Service Fee.,免收服务费用。,,sent
no smoking,禁止吸烟,,np
no smoking except in designated area,除指定区域外，禁止吸烟,,np
no u turn,禁止掉头,,np
no visitors,游人止步,,np
"No, I don't think we've met.",不，我想没见过面。,,sent
"No, I haven't reserved in advance.",没有，我事先没有预订。,,sent
"No, it's for my friend.",不，是我的朋友。,,sent
"No, not at all. there you go.",没关系，给你。,,sent
Just show your ticket to the boarding officer as you get on the plane.,您登机时只要向工作人员出示机票就可以了。,,sent
"No, thank you.",不用了，谢谢。,لا، شكراً.,sent
"No, that's not possible.",不能。,,sent
"No, we do not.",我们不是。,لا لم نفعل.,sent
"No,I'd rather have a glass of juice, please.",不，我更想要一杯果汁。,,sent
No.,不。,لا.,sent
non-smoking section,非吸烟区,قسم غير المدخنين,np
non-smoking room,禁烟房间,غرفة لغير المدخنين,np
smoking room,吸烟室,غرفة التدخين,np
non-stop flight,连续飞行,,np
noodles,面条,الشعيرية,np
noon,中午,الظهيرة,np
north,北,شمال,adv
North Korea,北朝鲜,كوريا الشمالية,np
Norway,挪威,النرويج,np
nose,鼻子,أنف,np
Not bad. We'll take it.,可以，就做这儿吧。,,sent
not for sale,恕不出售,,np
Not too far.,不太远,ليس بعيد جداً,sent
nothing to declare,无报关,,np
Notice On Luggage Check-In.,行包托运须知。,,sent
Nottingham,诺丁汉,نوتنغهام,np
November,十一月,نوفمبر,np
now,现在,الآن,adv
Now put everything from your pockets in this tray and come through the detector.,现在请把口袋里的东西掏出来放在这里，从检测器走过。,,sent
Now you have been booked.,现在您已完成订位。,,sent
Number *.,数字 *.,رقم *,vp
number and street,街道及门牌号,,np
number of children,子女人数,,np
object,物品,,np
occupation,职业,,np
occupational history,工作经历,,np
occupied,有人,,np
October,十月,أكتوبر,np
off,关,,np
off-job training,脱产培训,,np
office hours,办公时间,,np
office phone,办公电话,,np
official use only,官方填写,,np
offspring,后代,,np
oil,油,,np
I'll take it.,我要买这个。,حسناً، سآخذه.,sent
And anything else I can do for you?,还有什么别的需要吗?,وأي شيء آخر يمكنني فعله من أجلك؟,sent
Anyting else?,还要其它的吗?,أي شيء آخر؟,sent
I'll have that right out.,我马上拿给你。,سآخذ هذا الحق.,sent
Thank you and we look forward to your arrival.,谢谢您，我们期盼您的到来。,شكرا لك ونتطلع إلى وصولك.,sent
We look forward to your visit.,我们期待您的光临。,نحن نتطلع إلى زيارتكم.,sent
"Your name, please?",请问您的名字?,اسمك من فضلك؟,sent
Okay.,好的。,حسناًً,sent
OK.,好的。,حسناًً,sent
olive oil,橄榄油,زيت الزيتون,np
Oman,阿曼,سلطنة عمان,np
one,一,واحد,num
economy class seat,经济舱座位,مقعد الدرجة السياحية,np
"One extra pillow, please.",请再给我一个枕头。,,sent
"One more, please.",请再给我一个。,واحد إضافي، من فضلك.,sent
one o'clock AM,凌晨一点钟,الساعة الواحدة صباحاً,np
one o'clock PM,下午一点钟,الساعة الواحدة مساءً,np
"One ticket to *, please.",要一张去*的票，谢谢,تذكرة واحدة إلى *.,vp
one way,单行道,اتجاه واحد,adv
one-way ticket,单程机票,,np
onion,洋葱,,np
Only first class tickets are available.,现在只有头等舱了。,,sent
open,营业,مفتوح,adj
to open,打开,لفتح,vp
orange,橙子,برتقال,np
orange color,橙色,برتقالي,adj
orange juice,柳橙汁,عصير برتقال,np
Osaka,大阪,أوساكا,np
Oslo,奥斯陆,أوسلو,np
others,其他,,np
Ottawa,渥太华,أوتاوا,np
Our chef is trying his best.,我们的厨师正在尽最大的努力。,,sent
Our seats are separated.,我们的座位是分开的。,,sent
Our table number is *.,我们预订桌号是*。,,vp
Our waiter will show you to your table.,我们的服务生会带您到餐位。,,sent
Our waitress will be with you in a moment.,服务员马上就来。,,sent
Our waitress will get you tea in a minute.,服务员马上就给您上茶。,,sent
Outdoor Swimming Pools.,室外泳池。,,sent
oxygen mask,氧气罩,,np
oyster sauce,蚝油,,np
pain killer,止痛药,مسكن ألم,np
painful,痛。,مؤلم,adj
Pakistan,巴基斯坦,باكستان,np
Palau,帕劳,بالاو,np
Panama,巴拿马,بناما,np
Panama City,巴拿马城,مدينة باناما,np
paper napkin,纸巾,,np
Papua New Guinea,巴布亚新几内亚,بابوا غينيا الجديدة,np
Paraguay,巴拉圭,باراغواي,np
Pardon me?,可以再重复一遍吗？,عذراً/معذرة؟,sent
parents,父母,,np
Paris,巴黎,باريس,np
parting,停车处,,np
passenger manifest,乘客名单,,np
passenger plane,客机,,np
"Passengers in the first class, please proceed to the boarding gate now.",请头等舱的旅客前往登机门。,,sent
passport,护照,جواز سفر,np
passport control,入境检验,,np
passport control immigration,护照检查处,,np
passport no,护照号,,np
Past the *.,传*,بعد ال*. / بعد أن تتخطى ال*.,vp
pause,暂停,,np
Please pay *.,请付款 *。,يرجى دفع *.,vp
The total price is *.,总价格是*。,السعر الاجمالي هو *.,vp
Can I pay?,我可以付钱吗？,هل يمكنني الدفع؟,sent
Can you pay *?,你可以付*吗？,يمكنك أن تدفع *؟,vp
Can I pay with *?,我可以用*付款吗？,هل يمكنني الدفع عن طريق *؟,vp
I will pay *.,我会付钱的 *。,سأدفع *.,vp
Smart phone,手机,الهاتف الذكي,np
peanut,花生酱,,np
pen,笔,قلم حبر,np
pen name,笔名,,np
pencil,铅笔,قلم رصاص,np
pepper,胡椒,,np
pepper shaker,胡椒瓶,,np
permanent address,永久住址,,np
Perth,珀斯,بيرث,np
Peru,秘鲁,بيرو,np
petrol,汽油,بترول,np
Philippines,菲律宾,الفلبين,np
Phnom Penh,金边,بنوم بنه,np
pickle,咸菜,,np
pillow,枕头,,np
Pilot's Cockpit.,飞行员驾驶舱。,,sent
plane no,机号,,np
plane ticket,飞机票,,np
Please accept our apology.,请接受我们的道歉。,,sent
Please be more careful in the future.,请以后多多注意。,,sent
Please be there * at the latest.,最晚请在*到那里。,,vp
Please Call The Hotel Operator For More Information.,可以打电话询问酒店接线员更多信息。,,sent
Please cancel my order if the food is not ready.,如果饭菜没做好的话请取消我的点餐吧。,,sent
Please check in at the airport two hours before departure.,请于起飞前*小时到机场办理登机手续。,,vp
Please check-in at zone *,请到*区办理登机手续。,,vp
Please clean my room.,请清洁我的房间,من فضلك نظف غرفتي.,sent
Please clean up the table.,请收拾一下桌子。,,sent
Please clear the plates.,请洗干净这些碟子,من فضلك نظف الصحون.,sent
Please come over for inspection.,请过来接受检查。,,sent
Please come this way.,请往这边走。,,sent
Please come with me.,请跟我过来,أرجوك، تعال/تعالي معي.,sent
Please do and hurry up!,请快一点!,,sent
Please follow me.,请跟我来。,,sent
Please follow the signs for zone R to check in.,请沿着标志引导到Ｒ区办理登机手续。,,sent
Please give me *.,请给我*。,من فضلك أعطني *.,vp
Please give me the paper towel.,请给我些纸巾。,,sent
Please give me your baggage claim tag.,请给我你的行李领取牌。,,sent
Please go to the transfer counter.,请到转机柜台办理。,,sent
Please have photo identification ready for inspection.,请准备好带照片的身份证接受检查。,,sent
Please have your luggage checked.,请自觉接受行包安检。,,sent
Please have your ticket or boarding card ready for inspection.,请把机票和登机牌准备好接受检查。,,sent
Please Keep Valuables With You.,贵重物品随身携带/贵重物品请自行妥善保管。,,sent
Please keep your seat belt fastened.,请系好安全带。,,sent
please leave your luggage with you at all times,请随身携带你的行李,,np
Please let us pass.,请让我们借过一下。,,sent
Please open your bag. We'd like to have a look.,请把你的包打开，我们要检查一下。,,sent
Please pack the leftovers for me.,请帮我把剩菜打包。,,sent
Please pass through the detector one by one.,请一个一个通过探测门。,,sent
Please pull your table down. It's supper time.,晚餐时间到了，请放下桌子。,,sent
Please put all carry-on luggage in a basket and then place it on the conveyor.,请把所有的随身行李放在一个筐里，然后把筐放在传送带上。,,sent
"Please put all your metallic objects such as coin,cellphone,chewing gum,cigarettes,and anything with Aluminum foil into the basket.",请把您随身携带的所有金属物品，如硬币、手机、口香糖、香烟、以 及带锡纸的物品等放在篮子里。,,sent
Please put it here.,请把它放在这里。,,sent
Please put me on the waiting list.,请把我列为候补。,,sent
Please put your baggage on the scale.,请把您的行李放在磅秤上。,,sent
Please put your package under your seat.,请把你的行李放在座位下面。,,sent
Please queue for flights to * destinations.,请排队办理前往*各地的登机手续。,,vp
Please raise your arms.,请您抬起双臂。,,sent
Please Return This Key Card To The Front Desk When You Check Out.,结账时请将钥匙卡归还前台。,,sent
Please rush our order.,请快点做好我们的菜。,,sent
Please sit down.,请坐。,,sent
Please sit where you like.,请随意入座。,,sent
Please Take care Of Your Belongings.,请保管好随身物品。,,sent
Please take off your shoes.,请脱掉您的鞋子。,,sent
Please take seats.,请坐。,,sent
Please take your computer out and put it in the basket.,请把您的电脑从包里取出放入筐里。,,sent
Please tell me your name.,请告诉我您的名字。,,sent
Please turn up the AC.,请把空调开大一点。,من فضلك شغل المكيف الهوائي.,sent
Please unbutton your coat.,请把您的衣扣打开。,,sent
Please use the meter machine.,请打表。,من فضلك استعمل آلة السحب ببطاقة الائتمان.,sent
Please wait a moment.,请稍等一会。,,sent
Please wait here or take advantage until our hostess escorts to your table.,请稍等或自便，有人会领你入座。,,sent
Please.,请。,من فضلك,adv
pocket,口袋,,np
poison,有毒,,np
Poland,波兰,بولندا,np
police,警察,الشرطة,np
pork,猪肉,لحم خنزير,np
Porridge.,白粥。,,sent
Port Moresby,端口莫尔兹比港,مرفئ مويسبي,np
Porto,波尔图,بورتو,np
Portugal,葡萄牙,البرتغال,np
post doctorate,博士后,,np
post office,邮局,,np
postage stamp,邮票,طابع بريدي,np
postal code,邮政编码,,np
postcard,明信片,بطاقة بريدية,np
Prague,布拉格,براغ,np
pre-flight safety demonstration,飞行安全示范,,np
precise,一丝不苟的,,np
prefecture,专区,,np
Press the call button if you need any more help.,如果还有其他需求，可以按呼叫按钮通知我们。,,sent
Pretoria,比勒陀利亚,بريتوريا,np
Price According To Season And Size Of Flat.,价格按季节和公寓大小而定。,,sent
Prices of food in this restaurant are much higher than that in other restaurants.,这家餐厅的价格比其他的餐厅高。,,sent
prize fellow,奖学金生,,np
Probably * hours.,大概*小时。,,vp
professionalhistory,职业经历,,np
professionals & technical,专业技术人员,,np
prohibited item,违禁物品,,np
propeller-driven aircraft,螺旋桨飞机,,np
protect public propety,爱护公共财物,,np
province,省,,np
pub,酒店,,np
public phone,公用电话,,np
pull,拉,اسحب,vp
Pune,普纳,بيون,np
purple,紫色,بنفسجي,adj
push,推,ادفع,vp
"Put on your seat belt, please.",请系好安全带。,,sent
"Put your carry-on luggage on the belt, please.",请把你的手提行李放在传送带上。,,sent
Qatar,卡塔尔,دولة قطر,np
Quantity allowed to take.,限带物品数量。,,sent
queue here,在此排队,,np
quiet,安静,هادئ,adj
ramp,停机坪,,np
razor,剃刀,موس حلاقة,np
reading light,阅读灯,,np
realistic,实事求是的,,np
receipt,发票,,np
Reception,前台/服务台/接待,,sent
reclaim belt,取行李传送带,,np
red,红色,أحمر,adj
red wine,红酒,نبيذ أحمر,np
Reduced Rates For Elderly.,老人优惠。,,sent
reduced speed now,减速行驶,,np
refined sugar,白糖,,np
refresher course,进修课程,,np
Regulations on restriction of liquids.,限带液体物品的规定。,,sent
relative,亲戚,,np
Remove Key.,取出钥匙卡。,,sent
Report Suspicious Persons Or Acts.,报告可疑人员或可疑行为。,,sent
responsible,负责的,,np
restaurant,餐厅,مطعم,np
restaurant and pub,餐馆酒吧,,np
restaurant lounge,酒店大厅,,np
Restriction of hand carry-on articles.,随身携带的物品限制规定。,,sent
rice,米饭,أرز,np
rice bowl,饭碗,,np
Riga,里加,ريغا,np
right,右边,يمين,part
Rio de Janeiro,里约热内卢,ريو دي جانيرو,np
Riyadh,利雅得,مدينة الرياض,np
road,路,شارع,np
"road up, detour",马路施工，请绕行,,np
rock,洛杯,,np
rock sugar,冰糖,,np
Romania,罗马尼亚,رومانيا,np
Rome,罗马,روما,np
Room Reservation. Good afternoon.,客房预约部。下午好!,,sent
"Room Reservations. May i help you,sir?",客房预定。先生有什么需要我帮忙的吗?,,sent
Rotterdam,鹿特丹,روتردام,np
Round trip back to *.,我要往返票，*月*日飞回*。,,vp
Round trip or one way?,往返还是单程?,,sent
round-trip ticket,来回机票,,np
rum,朗姆酒,رم شراب مسكر,np
runny nose,流鼻涕,سيلان الأنف,np
Russian Federation,俄罗斯联邦,الاتحاد الروسي,np
Rwanda,卢旺达,رواندا,np
Safe Deposit Boxes Are Available At Front Desk.,前台可以提供保险箱。,,sent
safety first,安全第一,,np
Saint Petersburg,圣彼得堡,سان بطرسبرج,np
Saint Vincent & the Grenadines,圣文森特和格林纳丁斯,سانت فنسنت وجزر غرينادين,np
salad,沙拉,سلطة,np
salad dressing,沙拉酱,,np
salad oil,色拉油,,np
salt,盐,ملح,np
salt shaker,盐瓶,,np
Samoa,萨摩亚,ساموا,np
San Marino,圣马力诺,سان مارينو,np
Santiago,圣地亚哥,سانتياغو,np
Sao Paulo,圣保罗,ساو باولو,np
Sao Tome & Principe,圣多美和普林西比,ساو تومي وبرينسيبي,np
Sarajevo,萨拉热窝,سراييفو,np
satellite,卫星楼,,np
Saturday,星期六,يوم السبت,np
saucer,咖啡碟,,np
Saudi Arabia,沙特阿拉伯,المملكة العربية السعودية,np
Sauna,桑拿浴,,sent
sausage,香肠,سجق,np
scented tea,花茶,شاي معطر,np
scheduled time,预计时间,,np
seat belt,安全带,,np
seat by number,对号入座,,np
seat no,机座号,,np
second class cabin,二等舱,مقصورة الدرجة الثانية,np
second job,第二职业,,np
Secure Valuables.,保管好贵重物品。,,sent
security check,安检,,np
Security check (in).,安检。,,sent
security inspection,安检,,np
Security Office.,保安部。,,sent
Security screening requirements.,安检要求。,,sent
See you later.,待会见,أراك لاحقاً.,sent
See you then.,到时候见。,,sent
Senegal,塞内加尔,السنغال,np
Seoul,首尔,سيول,np
separated,分居,,np
September,九月,سبتمبر,np
Serbia,塞尔维亚,صربيا,np
service,服务人员,,np
service fork,服务叉,,np
service tongs,服务夹,,np
sesame,芝麻,,np
sesame oil,香油,,np
sesame paste,芝麻酱,,np
seven,七,سبعة,num
sex,性别,,np
Seychelles,塞舌尔,سيشيل,np
Shall I bring a cushion for the little one to sit on?,我需要拿个垫子为小朋友坐吗?,,sent
shampoo,洗发精,شامبو,np
Shanghai,上海,شنغهاي,np
Sharjah,沙迦,الشارقة,np
Shave Pins In All Bedrooms.,所有卧室备有刮脸插销。,,sent
she,她,هي,np
Sheffield,谢菲尔德,شيفيلد,np
Shenzhen,深圳,شنتشن,np
short stay,短暂停留,,np
short-sighted,近视,,np
Should I take off my jacket too?,我还要脱掉夹克吗?,,sent
shoulder,肩膀,كتف,np
Show me.,给我看一下。,أرني.,sent
shut,此路不通,,np
Shuttle Bus.,机场巴士。,,sent
Sierra Leone,塞拉利昂,سيرا ليون,np
signature,签名,,np
Singapore,新加坡,سنغافورة,np
single,未婚,,np
sister,姐妹,,np
sister-in-law,弟妹,,np
sites to see,景点,مواقع لترى,np
six,六,ستة,num
Slippery Road.,小心路滑。,,sent
Slovakia,斯洛伐克,سلوفاكيا,np
Slovenia,斯洛文尼亚,سلوفينيا,np
slowly,慢慢的,ببطء,adv
Smoking or non-smoking?,吸烟区还是非吸烟区?,,sent
smoking seat,吸烟坐位,,np
smoking section,吸烟区,قسم المدخنين,np
"Smoking, please.",吸烟区。,,sent
smooth flight,平稳的飞行,,np
sneeze,打喷嚏,عطسة,np
soap,肥皂,صابون,np
soda spoon,冻茶勺,,np
Sofia,苏菲亚,صوفيا,np
Solomon Islands,所罗门群岛,جزر سليمان,np
Somalia,索马里,الصومال,np
Some black coffee will help to sober me up.,一些黑咖啡，能让我清醒。,,sent
"Some more *, pelase.",再多一点*，谢谢,المزيد من *، من فضلك.,vp
something) to declare,有报关,,np
son,儿子,,np
son-in-law,女婿,,np
sore,酸,ملتهب,adj
Sorry No Vacancy.,抱歉，客满。,,sent
"Sorry, it's all sold out.",对不起，都卖完了。,عذرا ، كل شيء بيعت.,sent
"Sorry, we're fully booked.",抱歉，我们位子被订满了。,,sent
Sorry. It's out of stock now.,对不起，已经脱销了。,,sent
sos,紧急求救信号,,np
soup,汤,حساء,np
soup bowl,汤碗,,np
soup spoon,汤勺,,np
south,南,جنوب,adv
South Africa,南非,جنوب أفريقيا,np
South Korea,韩国,كوريا الجنوبية,np
South Sudan,南苏丹,جنوب السودان,np
Southampton,南安普敦,ساوثامبتون,np
soy sauce,酱油,,np
Spain,西班牙,إسبانيا,np
special training,特别训练,,np
specialized courses,专门课程,,np
specific experience,具体经历,,np
speed,速度,,np
speed limit,速度限制,حد السرعة,np
Speed Per Hour.,飞行速度。,,sent
spouse,配偶,,np
Sri Lanka,斯里兰卡,سيريلانكا,np
St Kitts & Nevis,圣基茨和尼维斯,سانت كيتس ونيفيس,np
St Lucia,圣卢西亚,شارع لوسيا,np
staff only,本处职工专用,,np
stairs and lifts to departures,由此乘电梯前往登机,,np
Stalls,中庭,,sent
status,订座情况,,np
stay close,跟紧,,np
steak knife,扒刀,,np
stepbrother,异父(母)之兄弟,,np
stepdaughter,继女,,np
stepfather,继父,,np
stepmother,继母,,np
stepsister,异父(母)之姐妹,,np
stepson,继子,,np
steward,男空服员,,np
stewardess,女空服员,,np
stir stick,搅棒,,np
Stockholm,斯德哥尔摩,ستوكهولم,np
Stoke-on-Trent,特伦特河畔斯托克,ستوك أون ترينت,np
stomach medicine,肠胃药,دواء للمعدة,np
stop,关闭,,np
stop (on a street sign),停,قف,sent
Stop! Thief!,住手！小偷！,توقف! لص/سارق‏! ‎,sent
straight ahead,往前走,إلى الأمام,sent
straw,吸管,,np
street,街,شارع,np
study abroad student,留学生,,np
Stuttgart,斯图加特,شتوتغارت,np
Sudan,苏丹,سودان,np
sugar,糖,سكر,np
sugar bowl,糖盅,,np
Suit,套间,,sent
sunblock lotion,防晒乳,مرهم حماية من حروق الشمس,np
Sunday,星期天,الأحد,np
supper,晚饭,العشاء,np
Surabaya,泗水,سورابايا,np
Surat,苏拉特,سورة,np
"Sure, but if you do have any cancellations, could you let me know as soon as possible?",好的，如果真有人取消，能不能尽快让我知道呢?,,sent
Sure.,当然啦。,صحيح.,sent
What kind do you want?,你想要什么样的？,ما نوع هل تريد؟,sent
What kind do you have?,你有什么样的？,ما نوع لديك؟,sent
Suriname,苏里南,سورينام,np
Swansea,斯旺西,سوانسي,np
Swaziland,斯威士兰,سوازيلاند,np
Sweden,瑞典,السويد,np
Switzerland,瑞士,سويسرا,np
Sydney,悉尼,سيدني,np
Syria,叙利亚,سوريا,np
tabasco,辣椒仔,,np
Taipei,台北,تايبيه,np
Taiwan,台湾,تايوان,np
