,ar,cn,en,pos
856,,头发吹风机,(Hair) Dryer,sent
857,,吹风机。,Warm Air Hand Drier.,sent
858,,谨防沾水。,Keep Away From Water.,sent
859,,所有卧室备有刮脸插销。,Shave Pins In All Bedrooms.,sent
860,,拔去电源插头。,Unplug It.,sent
861,,小心孩童触电死亡。,Warn Children Of The Risk Of Death By Electric Shock.,sent
862,,遗忘了物品吗?,Forget Something?,sent
863,,如果您忘了把洗漱物品打入您的包裹（如牙刷，牙膏，剃须膏，剃须刀或梳子），请给前台电话，我们可以立即提供赠送替代品。,"If You Forget To Pack Any Standard Toiletry Item（Toothbrush, Toothpaste, Shaving Cream, Razor Or Comb）, Just Call The Front Desk And We'll Get You A Complimentary Repacement Right Away.",sent
864,,为了您的方便，前台有香烟出售。,"For Your Convenience, Cigarettes Are Available At The Front Desk.",sent
865,,夜间有行李搬运服务生。,Night Porter On Duty.,sent
866,,提供洗烫服务。,Laundry Service.,sent
867,,付费电话,Pay Phone,sent
868,,呼叫服务员,Attendant Call.,sent
869,,预订服务请拨电话...,For Reservation Call...,sent
870,,预订午餐或晚餐。,Early Book For Lunch Or Dinner.,sent
871,,高速无线上网,High-Speed Wireless Internet.,sent
872,,高速上网介绍。,Introducing High-Speed Internet Access.,sent
873,,所有房间内免费登陆。,Free In All Guest Rooms.,sent
874,,本酒店旅客房间内没有无线上网设施。,Guest Rooms In This Hotel Are Not Equipped With Wireless(Wifi) High Speed Internet Access.,sent
875,,在酒店的公共场所可以登陆无线英特网。,Wifi Is Available In Public Area In The Hotel.,sent
876,,可以打电话询问酒店接线员更多信息。,Please Call The Hotel Operator For More Information.,sent
877,,请查阅旅客服务指南获取更多的有关高速上网以及如何排除故障的信息。,"For More On High Speed Internet Access, Including Trouble Shooting Information, Please Refer To The Guest Service Directory.",sent
878,,服务承诺,Hospitality Promise,sent
879,,我们随时倾听您的意见。,"When You Talk, We Listen.",sent
880,,为了让您尽可能舒适我们愿意付出一切。,We Are Committed To Doing What It Takes To Make Your Stay As Comfortable As Possible.,sent
881,,我们前台服务团队每天*小时为您解决一切问题。,Our Front Desk Team Is Available * Hours A Day To Address Any Of Your Needs.,vp
882,,如果某处不尽人意请告诉我们的值班经理或前台服务人员。,Just Let Our Manager On Duty Or Front Desk Staff Know If Any Part Of Your Stay Isn't Satisfactory.,sent
883,,我们承诺将立即整改，否则您可以拒绝支付相关服务的费用。,We Promise To Make It Right Or You Won't Pay For That Part Of Your Stay.,sent
884,,请不要犹豫联系我们。,Do Not Hesitate To Contact Us.,sent
885,,您的满意就是我们的宗旨。,Your Comfort Is Our Priority.,sent
886,,让您居住的完全满意是我们的宗旨。,Making Your Stay A Complete Success Is Our Goal.,sent
887,,员工便后必须洗手方可回到工作岗位。,Employees Must Wash Hands Before Returning To Work.,sent
888,,旅馆双向停车场。,Two Way Traffic Hotel Parking.,sent
889,,行政商务中心,Executive Business Centre.,sent
890,,会议设施。,Conference Facilities.,sent
891,,传真复印服务。,Fax And Copy Service.,sent
892,,餐馆酒吧。,Restaurant And Pub.,sent
893,,健身中心。,Fitness Centre.,sent
894,,锻炼设施,Exercise Facilities,sent
895,,游戏房。,Games Room.,sent
896,,旅客止步。,Staff Only.,sent
897,,你家有几口人?,How many people are in your family?,sent
898,,四口人。,Four people.,sent
899,,父母和我的妹妹。,My parents and my younger sister.,sent
900,,有兄弟姐妹吗?,Any brothers or sisters?,sent
901,,只有一个哥哥。,Just one brother.,sent
902,,你和父母住在一起吗?,Do you live with your parents?,sent
903,,我一个人住。,I live alone.,sent
904,,我住在一个公寓里。,I live in an apartment.,sent
905,,你说日语吗?,Do you speak Japanese?,sent
906,,我只说英语。,I only speak English.,sent
907,,只会一点。,A little.,sent
908,,我的爱好是…,I am interested in ….,sent
909,,你学的是什么?,What are you studying?,sent
910,,你在ABC公司担任什么职务?,What sort of job do you do at ABC?,sent
911,,你在那里从事什么工作?,What do you do there?,sent
912,,我的工作是教学生。,My job is to teach students.,sent
913,,我在政府部门上班。,I work in government.,sent
914,,你在哪里工作?,Where do you work?,sent
915,,你从事哪类工作?,What kind of work do you do?,sent
916,,你靠什么来谋生（你做什么工作）?,What do you do for a living?,sent
917,,你做什么工作?,What do you do?,sent
918,,你的工作是什么?,What's your job?,sent
919,,这里是我的电话号码、电邮。,"That's my number, e-mail.",sent
920,,这是我的名片。,Here's my business card.,sent
921,,你的电话号码是多少?,What's your telephone number?,sent
922,,我可以得到你的电话号码和地址吗?,May I have your telephone number and address?,sent
923,,你能给我你的联系方式吗?,Can you give me your contact information?,sent
924,,我怎么联系你呢?,How can I contact you?,sent
925,,我想让你见见我的朋友,I'd like you to meet a friend of mine.,sent
926,,我想让你见见鲍勃。,I want you to meet Bob.,sent
927,,我来介绍一下鲍勃。,I'd like to introduce Bob.,sent
928,,他是个好人。,He's a nice guy.,sent
929,,让我来给你们相互介绍。,Let me introduce you to eath other.,sent
930,,你们以前见过吗?,Have you met before?,sent
931,,我们以前见过面吗?,Have we ever met?,sent
932,,你看起来很眼熟。,You look familiar.,sent
933,,你看起来像我的一个朋友。,You look like one of my friends.,sent
934,,你看起来像我认识的一个人。,You look like someone I know.,sent
935,,我不确定，也许。,I'm not sure. Maybe.,sent
936,,不，我想没见过面。,"No, I don't think we've met.",sent
937,,认识你很高兴。,It was nice meeting you.,sent
938,,很高兴认识(遇见)你。,It's pleasure to meet you.,sent
939,,请问你叫什么名字?,"What's your name, please?",sent
940,,我可以知道你的名字吗?,May I have your name?,sent
941,,我的名字叫*。,My name is *.,sent
942,,你多大了?,How old are you?,sent
943,,我今年*岁了。,I'm * years old.,sent
944,,我可以问一下你从哪里来吗?,May I ask where you come from?,sent
945,,我从加拿大来。,I come from Canada.,sent
946,,你的国籍是哪儿?,What is your nationality?,sent
947,,我的国籍是中国。,My nationality is Chinese.,sent
948,,我是美国人。,I am American.,sent
949,,我们需要买点牛奶,We need more milk,sent
950,,我们去超市买东西吧,Let's go grocery shopping,sent
951,,我们去超市吧。,Let's go to the supermarket.,sent
952,,我们去超市转转。,We took a trip to the supermarket.,sent
953,,去超市，干嘛?,To the supermarket. What's up?,sent
954,,超市今天开门吗?,Is the supermarket open today?,sent
955,,我能为你效劳吗?,May I help you?,sent
956,,购物篮在哪里?,Where are the shopping baskets?,sent
957,,我们先去找个购物车。,Let's get a shopping cart first.,sent
958,,我需要一辆购物车。,I need a shopping cart.,sent
959,,就在入口处。,It is at the entrance.,sent
960,,在这，取一辆手推车吧。,"Here, take one of these trolleys.",sent
961,,我们现在有免费试吃。,We have free samples now.,sent
962,,你要不要尝一下?,Do you want to try it?,sent
963,,您在找什么呢?,What are you looking for?,sent
964,,您在找什么呢?,Are you looking for something particular?,sent
965,,你到底想买些什么?,What do you want exactly?,sent
966,,我找不到宠物食品。,I can't find the pet food.,sent
967,,肉柜台在哪里?,Where's the meat counter?,sent
968,,乳制品在哪儿?,Where can I find the diary products?,sent
969,,乳制品在哪儿?,Where are the dairy products?,sent
970,,就在你身后的货架上。,They are on the chelf right behind you.,sent
971,,罐头产品在哪条通道?,Which aisle are the canned goods at?,sent
972,,冷冻食品在哪条通道?,At what aisle is the frozen food?,sent
973,,你记得这货物在哪条货道里吗?,Do you remember which aisle this was at?,sent
974,,谁能告诉我哪里可以买到做中国菜的原材料?,Can anyone tell me where I can buy the ingredients to make Chinese food?,sent
975,,水果蔬菜区在哪里?,Where is the fruit and vegetable section?,sent
976,,水果和蔬菜在那边。,The fruit and vegetables are over there.,sent
977,,它们在B区。,They are in Section B.,sent
978,,在第三通道。,In aisle *,vp
979,,在这条通道的尽头。,It's at the end of this aisle.,sent
980,,往里走到头然后右转。,Go all the way to the back and turn right.,sent
981,,我想要些香蕉。,I'd like some bananas.,sent
982,,这肉有多重?,How much dose this meat weight?,sent
983,,你能称一下这个吗?,Could you weight this?,sent
984,,给我切一斤牛肉。,Slice me half a kilo of beef.,sent
985,,给我一磅番茄和一磅茄子。,Give me a pound of tomatoes and a pound of eggplants.,sent
986,,好的，还要其它的吗?,OK. Anyting else?,sent
987,,你们卖有机蔬菜吗?,Do you sell organic vegetables here?,sent
988,,有的，就在你面前。,"Yes, we do. They're right in front of you.",sent
989,,你们应该要有标识，让顾客知道哪些是有机蔬菜，那些不是。,You should have a sign. That way people could identify which are organic and which aren't.,sent
990,,有机蔬菜都有蓝色的标签。在这里，看到了吗?,"The organic vegetables are marked with the blue label. Here, do you see?",sent
991,,它们在包装上有标示。,They're labeled on the packet.,sent
992,,这上面没有标价。,There is no price on this item.,sent
993,,这上面没有标价。,This item is not priced.,sent
994,,我们想买一些酱油，酱油在哪一个通道?,We need to buy some soya sauce. Which aisle is the soya sauce in?,sent
995,,在第七走道，和调味品一起，就在番茄酱的旁边。,That would be in aisle * with the condiments. It is right next to the ketchup.,vp
996,,我们今天清仓大处理。,We have a clearance sale today.,sent
997,,价格将会下降。,The price will go down.,sent
998,,这个还有存货吗?,Do you have this in stock?,sent
999,,这种商品还有存货吗?,Do you have more of this item in stock?,sent
1000,,恐怕已经没有存货了。,I'm afraid We don't have it in stock.,sent
1001,,恐怕那种货已经卖完了。,I'm afraid we're out of that item.,sent
1002,,对不起，已经脱销了。,Sorry. It's out of stock now.,sent
1003,,好用实惠，物美价廉。,Easy to use and great value too.,sent
1004,,你们几点开始营业?,What time do you open?,sent
1005,,你们几点开始关门?,What time do you close?,sent
1006,,机场,airport,np
1007,,国内机场,domestic airport,np
1008,,停机坪,ramp,np
1009,,机场控制台,control tower,np
1010,,机场候机楼,airport terminal,np
1011,,候机厅,waiting room,np
1012,,候机厅,waiting lounge,np
1013,,主候机厅,main lobby,np
1014,,贵宾候机亭,lounge pavilion,np
1015,,问讯处,assistance,np
1016,,问讯处,information,np
1017,,售票处,ticket office,np
1018,,办理登机区,check in area,np
1019,,护照检查处,passport control immigration,np
1020,,失物招领处,lost and found,np
1021,,公共汽车,bus,np
1022,,机场班车,airports shuttle,np
1023,,出租车乘车点,taxipick-up point,np
1024,,女厕,women's,np
1025,,订旅馆,hotel reservation,np
1026,,旅行社,travel agency,np
1027,,免税店,duty-free shop,np
1028,,咖啡馆,cafe,np
1029,,面包店,bakery,np
1030,,加油站,filling station,np
1031,,邮局,post office,np
1032,,办公时间,office hours,np
1033,,暂停,pause,np
1034,,停车处,parting,np
1035,,机场休息室,airport lounges,np
1036,,旅客休息室,customers lounges,np
1037,,飞机票,plane ticket,np
1038,,国际班机,international flight,np
1039,,旅客姓名,name of passenger,np
1040,,机号,plane no,np
1041,,来回机票,round-trip ticket,np
1042,,头等舱,first class,np
1043,,经济舱,economy class,np
1044,,前往城市,to,np
1045,,起飞日期,date,np
1046,,预计时间,scheduled time,np
1047,,机场费,airport fee,np
1048,,承运公司,carrier,np
1049,,自动售票机,automatic ticket machine,np
1050,,国内航班,domestic flights,np
1051,,进港,arrivals,np
1052,,过境,transit,np
1053,,国内航班出站,domestic departure,np
1054,,由此乘电梯前往登机,stairs and lifts to departures,np
1055,,出口,exit,np
1056,,各通道出口,exit to all routes,np
1057,,由此上楼,upstairs,np
1058,,推,push,np
1059,,此路不通,shut,np
1060,,游人止步,no visitors,np
1061,,闲人免进,no admittance,np
1062,,油漆未干,wet paint,np
1063,,关,off,np
1064,,快车先行,give way,np
1065,,禁止吸烟,no smoking,np
1066,,请勿拍照,no photos,np
1067,,勿乱扔杂物,no litter,np
1068,,禁止超车,do not pass,np
1069,,可以U形转弯,u turn ok,np
1070,,本处职工专用,staff only,np
1071,,保持安静,keep silence,np
1072,,恕不出售,not for sale,np
1073,,谨防扒手,beware of pickpocket,np
1074,,灭火专用,for use only in case of fire,np
1075,,爱护公共财物,protect public propety,np
1076,,禁止小便,commit no nuisance,np
1077,,妇女、儿童优先,children and women first,np
1078,,马路施工，请绕行,"road up, detour",np
1079,,行李,baggage,np
1080,,行李,luggage,np
1081,,托运的行李,checked baggage,np
1082,,行李领取处,luggage claim,np
1083,,行李推车,luggage cart,np
1084,,行李存放处,luggage depository,np
1085,,到港行李,luggage from flights,np
1086,,取行李,luggage reclaim,np
1087,,请随身携带你的行李,please leave your luggage with you at all times,np
1088,,易碎,fragile,np
1089,,小心轻放,handle with care,np
1090,,当心不要丢失东西,take care not to leave things behind,np
1091,,短暂停留,short stay,np
1092,,机场安检,airport security,np
1093,,安检,security inspection,np
1094,,口袋,pocket,np
1095,,硬币,coin,np
1096,,手提电脑,lap-top,np
1097,,香烟,cigarette,np
1098,,篮子，筐,basket,np
1099,,输送带,conveyor,np
1100,,探测器，检测器,detector,np
1101,,脱掉,take off,np
1102,,易燃物品,flammable item,np
1103,,被禁止,forbidden,np
1104,,单据，收据,receipt,np
1105,,暂时，临时,temporarily,np
1106,,登机,boarding,np
1107,,上飞机,to board a plane,np
1108,,对号入座,seat by number,np
1109,,女空服员,stewardess,np
1110,,乘客名单,passenger manifest,np
1111,,紧急出口,emergency exits,np
1112,,氧气罩,oxygen mask,np
1113,,座椅扶手,armrest,np
1114,,坐着的时候放脚的支撑物,foot rest,np
1115,,有人,occupied,np
1116,,飞机上的厨房,galley,np
1117,,毛毯,blanket,np
1118,,吸烟坐位,smoking seat,np
1119,,晕机,airsick,np
1120,,直飞,direct flight,np
1121,,飞行,flight,np
1122,,不平稳的飞行,bumpy flight,np
1123,,迎风,to face the wind,np
1124,,高度,altitude,np
1125,,迫降,forced landing,np
1126,,海关,customs,np
1127,,海关申报处,customs service area,np
1128,,海关申请表,customs declaration form,np
1129,,货币申报,currency declaration,np
1130,,姓,family name,np
1131,,年,year,np
1132,,日,day,np
1133,,性别,sex,np
1134,,女,female,np
1135,,国籍,country of citizenship,np
1136,,护照号,passport no,np
1137,,职业,occupation,np
1138,,行政管理人员,legislators &administrators,np
1139,,商业人员,commerce,np
1140,,农民,farmer,np
1141,,无业,jobless,np
1142,,前往目的地国,destination country,np
1143,,签证签发地,city where visa was issued,np
1144,,前往国家的住址,address while in,np
1145,,官方填写,official use only,np
1146,,签名,signature,np
1147,,客机,passenger plane,np
1148,,螺旋桨飞机,propeller-driven aircraft,np
1149,,直升机,helicopter,np
1150,,波音,boeing,np
1151,,依柳辛,ilyusin,np
1152,,三叉戟,trident,np
1153,,延误,delayed,np
1154,,中转旅客,transfer passengers,np
1155,,国际机场,international airport,np
1156,,飞机跑道,jetway,np
1157,,直升飞机场,heliport,np
1158,,卫星楼,satellite,np
1159,,国际旅客候机厅,international passenger lobby,np
1160,,国际候机楼,international terminal,np
1161,,候机厅,waiting hall,np
1162,,候机厅,departure lounge,np
1163,,贵宾候机厅,vip suite,np
1164,,迎宾处,greeting arriving,np
1165,,问讯处,inquiries,np
1166,,问讯处,help desk,np
1167,,货币兑换处,money exchange,np
1168,,登机手续办理,check-in,np
1169,,转机处,flight connections,np
1170,,失物招领,lost property,np
1171,,公用电话,public phone,np
1172,,大轿车乘车点,coachpick-up point,np
1173,,航空公司汽车服务处,airline coach service,np
1174,,租车处,car hire,np
1175,,男厕,men's bathroom,np
1176,,酒店,pub,np
1177,,来宾登记,visitors please register,np
1178,,餐厅,restaurant,np
1179,,酒巴,bar,np
1180,,洗衣店,laundry,np
1181,,银行,bank,np
1182,,营业时间,business hours,np
1183,,营业,open,np
1184,,关闭,stop,np
1185,,下班,closed,np
1186,,自行车存车处,bike parking,np
1187,,国内班机,domestic flight,np
1188,,机票确认,ticket confirm,np
1189,,班机号码,flight number,np
1190,,单程机票,one-way ticket,np
1191,,座舱等级,fare class,np
1192,,商务客舱,business class,np
1193,,起点城市,from,np
1194,,旅行经停地点,good for passage between,np
1195,,起飞时间,departure time,np
1196,,机座号,seat no,np
1197,,订座情况,status,np
1198,,登机牌,boarding pass,np
1199,,出港,departures,np
1200,,中转,transfers,np
1201,,国际航班出港,international departure,np
1202,,登机口,boarding gate,np
1203,,入口,entrance,np
1204,,安全出口,emergency exit,np
1205,,靠右,keep right,np
1206,,靠左,keep left,np
1207,,由此下楼,downstairs,np
1208,,拉,pull,np
1209,,禁止通行,no passing,np
1210,,禁止入内,no entry,np
1211,,禁止携犬入内,dogs not allowed,np
1212,,打开（ 放）,on,np
1213,,危险,danger,np
1214,,安全第一,safety first,np
1215,,除指定区域外，禁止吸烟,no smoking except in designated area,np
1216,,禁止鸣喇叭,no honking,np
1217,,免费通行,toll free,np
1218,,禁止掉头,no u turn,np
1219,,紧急求救信号,sos,np
1220,,请勿用手摸,hands off,np
1221,,不准张贴,no bills,np
1222,,有毒,poison,np
1223,,意见箱,complaint box,np
1224,,保持干燥,keep dry,np
1225,,请擦去鞋上的泥土,wipe your shoes and boots,np
1226,,免费入场,admission free,np
1227,,减速行驶,reduced speed now,np
1228,,随身行李,carry-on baggage,np
1229,,行李领取处,baggage claim area,np
1230,,行李牌,baggage tag,np
1231,,行李寄存,left baggage,np
1232,,行李暂存箱,luggage locker,np
1233,,取行李,luggage pick up,np
1234,,取行李传送带,reclaim belt,np
1235,,请勿倒立,keep top side up,np
1236,,此面向上,this side up,np
1237,,净重,net（weight）,np
1238,,切勿近火,keep away from fire,np
1239,,在此排队,queue here,np
1240,,跟紧,stay close,np
1241,,安检,security check,np
1242,,入境检验,passport control,np
1243,,金属的,metallic,np
1244,,物品，物体,object,np
1245,,手机,cellphone,np
1246,,口香糖,chewing gum,np
1247,,铝箔,aluminum foil,np
1248,,带，传送带,belt,np
1249,,通过，经过,through,np
1250,,检查,inspection,np
1251,,解开外衣扣子,unbutton your coat,np
1252,,违禁物品,prohibited item,np
1253,,没收,confiscated,np
1254,,欢迎登机,welcome aboard,np
1255,,下飞机,to get off a plane,np
1256,,机长,captain,np
1257,,男空服员,steward,np
1258,,飞行安全示范,pre-flight safety demonstration,np
1259,,安全带,seat belt,np
1260,,阅读灯,reading light,np
1261,,盥洗室,lavatory,np
1262,,无人,vacant,np
1263,,送餐车,food trolley,np
1264,,枕头,pillow,np
1265,,非吸烟席,non-smoking seat,np
1266,,航线,air route,np
1267,,起飞,take-off,np
1268,,平稳的飞行,smooth flight,np
1269,,连续飞行,non-stop flight,np
1270,,顺风,to fly with the wind,np
1271,,速度,speed,np
1272,,最高速度,top speed,np
1273,,降低,to lose height,np
1274,,飞机颠簸,turbulence,np
1275,,盘旋,circling,np
1276,,着陆,landing,np
1277,,下机,disembark,np
1278,,海关监管区,area of customs control,np
1279,,海关申报台,customs declaration counter,np
1280,,无报关,nothing to declare,np
1281,,有报关,something) to declare,np
1282,,无申报通道,nothing to declare,np
1283,,名,first name,np
1284,,月,month,np
1285,,出生日期,date of birth,np
1286,,男,male,np
1287,,国籍,nationality,np
1288,,原住地,country of origin,np
1289,,偕行人数,accompanying number,np
1290,,专业技术人员,professionals & technical,np
1291,,办事员,clerk,np
1292,,服务人员,service,np
1293,,工人,worker,np
1294,,其他,others,np
1295,,登机城市,city where you boarded,np
1296,,签发日期,date issue,np
1297,,街道及门牌号,number and street,np
1298,,城市及国家,city and state,np
1299,,班机,airliner,np
1300,,喷气式飞机,jet aircraft,np
1301,,空中客车,airbus,np
1302,,协和,concord,np
1303,,麦道,mcdonald-douglas,np
1304,,图波列夫,tupolev,np
1305,,国际航班旅客,international passengers,np
1306,,咖啡,coffee,np
1307,,速溶咖啡,instant coffee,np
1308,,冰咖啡,iced coffee,np
1309,,冰薄荷咖啡,iced mint coffee,np
1310,,意大利浓咖啡,espresso,np
1311,,塔拉珠高山咖啡,tarrazu coffee,np
1312,,特雷里奥咖啡,tres rios coffee,np
1313,,杏香咖啡,saronno coffee,np
1314,,玫瑰夫人咖啡,rose lady coffee,np
1315,,瑞士冰咖啡,iced swiss coffee,np
1316,,皇家咖啡,royal coffee,np
1317,,爱尔咖啡,irish coffee,np
1318,,贵妇人咖啡,dame coffee,np
1319,,哥伦比亚咖啡,colombian coffee,np
1320,,蓝山咖啡,blue mountain coffee,np
1321,,曼特林咖啡,brazilian coffee,np
1322,,美式咖啡,cafe americano,np
1323,,菠萝冰美式,iced pineapple americano,np
1324,,蜜桃冰美式咖啡,iced peach americano,np
1325,,法式滴滤咖啡,french coffee,np
1326,,低因咖啡,decaffeinated coffee,np
1327,,冰卡布奇诺,iced cappuccino,np
1328,,冰香草卡布奇诺,iced vanilla cappuccino,np
1329,,果味冰卡布奇诺,iced fruit cappuccino,np
1330,,薰衣草卡布奇诺,lavender cappuccino,np
1331,,榛子卡布奇诺,hazelnut cappuccino,np
1332,,冰焦糖咖啡拿铁,iced caramel latte,np
1333,,冰榛子咖啡拿铁,iced hazelnut latte,np
1334,,冰草莓咖啡拿铁,iced strawberry latte,np
1335,,黑莓咖啡拿铁,blackberry latte,np
1336,,薰衣草咖啡拿铁,lavender latte,np
1337,,黑莓冰咖啡拿铁,iced blackberry latte,np
1338,,蜜桃冰咖啡拿铁,iced peach latte,np
1339,,樱桃咖啡拿铁,cherry latte,np
1340,,榛子咖啡拿铁,hazelnut latte,np
1341,,浓缩咖啡康保蓝,espresso con panna,np
1342,,冰摩卡,iced mochaccino,np
1343,,樱桃摩卡咖啡,cherry mocha,np
1344,,芒果摩卡咖啡,mango mocha,np
1345,,冰水果咖啡,iced fruit coffee,np
1346,,漂浮冰咖啡,iced coffee float,np
1347,,正餐刀,dinner knife,np
1348,,牛油刀,butter knife,np
1349,,扒刀,steak knife,np
1350,,甜品勺,dessert spoon,np
1351,,汤勺,soup spoon,np
1352,,冻茶勺,soda spoon,np
1353,,冰夹,ice tongs,np
1354,,服务叉,service fork,np
1355,,长把勺,ladle,np
1356,,汤碗,soup bowl,np
1357,,咖啡杯,coffee cup,np
1358,,咖啡杯,coffee mug,np
1359,,甜品碟,desscrt plate,np
1360,,牛油碟,butter plate,np
1361,,糖盅,sugar bowl,np
1362,,茶盅,tea pot,np
1363,,水杯,water glass,np
1364,,高杯,high ball,np
1365,,洛杯,rock,np
1366,,配料,ingredients,np
1367,,葱,green onion,np
1368,,胡椒,pepper,np
1369,,咸菜,pickle,np
1370,,洋葱,onion,np
1371,,黄油,butter,np
1372,,橄榄油,olive oil,np
1373,,香油,sesame oil,np
1374,,盐,salt,np
1375,,糖,sugar,np
1376,,砂糖,granulated sugar,np
1377,,冰糖,rock sugar,np
1378,,味精,msg,np
1379,,芥末,mustard,np
1380,,番茄酱,ketchup,np
1381,,果酱,jam,np
1382,,花生酱,peanut,np
1383,,蜂蜜,honey,np
1384,,美极油,maggi,np
1385,,蚝油,oyster sauce,np
1386,,醋,vinegar,np
1387,,菜单,menu,np
1388,,点菜本,captain orde,np
1389,,牙签,toothpick,np
1390,,餐巾，餐布,napkin,np
1391,,烟盅,ashtra,np
1392,,搅棒,stir stick,np
1393,,托盘,tray,np
1394,,咖啡炉,coffee warmer,np
1395,,巧克力咖啡,chocolate coffee,np
1396,,现磨咖啡,fresh ground coffee,np
1397,,浓缩冰咖啡,iced espresso,np
1398,,意大利咖啡,italian coffee,np
1399,,意大利泡沫咖啡,cappuccino,np
1400,,碳烧咖啡,charcoal coffee,np
1401,,维也纳咖啡,vienna coffee,np
1402,,夏威夷可娜咖啡,hawaiian kona coffee,np
1403,,墨西哥冰咖啡,iced mexican coffee,np
1404,,巴西咖啡,brazil coffee,np
1405,,君度咖啡,cointreau coffee,np
1406,,生姜咖啡,ginger juice coffee,np
1407,,椰香咖啡,coconut coffee,np
1408,,牙买加咖啡,jamaican coffee,np
1409,,巴西山度士咖啡,brazil santos coffee,np
1410,,拿铁咖啡,cafe latte,np
1411,,冰美式咖啡,iced cafe americano,np
1412,,芒果冰美式咖啡,iced mango americano,np
1413,,香蕉冰美式,iced banana americano,np
1414,,冰法式滴滤,iced french coffee,np
1415,,冰焦糖卡布奇诺,iced caramel cappuccino,np
1416,,冰榛子卡布奇诺,iced hazelnut cappuccino,np
1417,,果味卡布奇诺,fruit cappuccino,np
1418,,香草卡布奇诺,vanilla cappuccino,np
1419,,冰拿铁咖啡,iced cafe latte,np
1420,,冰香草咖啡拿铁,iced vanilla latte,np
1421,,冰菠萝咖啡拿铁,iced pineapple latte,np
1422,,冰果味咖啡拿铁,iced fruit latte,np
1423,,拿铁香草,vanilla bean latte,np
1424,,椰子冰咖啡拿铁,iced coconut latte,np
1425,,芒果冰咖啡拿铁,iced mango latte,np
1426,,蜜桃咖啡拿铁,peach latte,np
1427,,樱桃冰咖啡拿铁,iced cherry latte,np
1428,,香蕉咖啡拿铁,banana latte,np
1429,,浓缩咖啡玛奇朵,espresso macchiato,np
1430,,草莓摩卡咖啡,iced strawberry mocha,np
1431,,椰子摩卡咖啡,coconut mocha,np
1432,,香蕉摩卡咖啡,banana mocha,np
1433,,法国香草咖啡,french vanilla coffee,np
1434,,巧克力冰咖啡,iced chocolate coffee,np
1435,,正餐叉,dinner for,np
1436,,水果刀,dessert knife,np
1437,,柄铲,cake knife,np
1438,,甜品叉,dessert for,np
1439,,服务勺,vice spoo,np
1440,,茶勺,teaspoon,np
1441,,服务夹,service tongs,np
1442,,小咖啡勺,demi-spoon,np
1443,,饭碗,rice bowl,np
1444,,碟子,dish,np
1445,,咖啡碟,saucer,np
1446,,面包碟,bread plate,np
1447,,奶勺,creamer,np
1448,,咖啡壶,coffee pot,np
1449,,特浓杯,espresso cup,np
1450,,果汁杯,juice glass,np
1451,,啤酒杯,beer glass,np
1452,,酒杯,wineglass,np
1453,,蒜,garlic,np
1454,,姜,ginge,np
1455,,辣椒,hot red pepper,np
1456,,香草,herb,np
1457,,柠檬,lemon,np
1458,,油,oil,np
1459,,色拉油,salad oil,np
1460,,调料,condiments,np
1461,,加碘盐,iodized salt,np
1462,,白糖,refined sugar,np
1463,,红糖,brown sugar,np
1464,,芝麻,sesame,np
1465,,咖喱,curry,np
1466,,沙拉酱,salad dressing,np
1467,,番茄汁,tomato juice,np
1468,,酸果酱,marmalade,np
1469,,芝麻酱,sesame paste,np
1470,,辣椒仔,tabasco,np
1471,,酱油,soy sauce,np
1472,,芝士粉,cheese powder,np
1473,,辣椒酱,chili sauce,np
1474,,酒水单,drink list,np
1475,,胡椒瓶,pepper shaker,np
1476,,盐瓶,salt shaker,np
1477,,牙签筒,toothpick tuble,np
1478,,纸巾,paper napkin,np
1479,,吸管,straw,np
1480,,杯垫,coaste,np
1481,,菜盖,cover,np
1482,,花瓶,vase,np
1483,,姓名,name,np
1484,,别名,alias,np
1485,,小姐,miss,np
1486,,太太,mrs,np
1487,,英寸,in,np
1488,,体重,weight,np
1489,,年龄,age,np
1490,,出生日期,birthdate,np
1491,,生于,born,np
1492,,永久住址,permanent address,np
1493,,目前住址,current address,np
1494,,双重国籍,duel citizenship,np
1495,,籍贯,native place,np
1496,,自治区,autonomous region,np
1497,,市,city,np
1498,,区,district,np
1499,,街,street,np
1500,,门牌,house number,np
1501,,办公电话,business phone,np
1502,,住宅电话,home phone,np
1503,,身份证,id card,np
1504,,未婚,single,np
1505,,分居,separated,np
1506,,家庭状况,family status,np
1507,,健康状况,health condition,np
1508,,（身体）极佳,excellent,np
1509,,远视,far-sighted,np
1510,,教育程度,educational background,np
1511,,学历,educational history,np
1512,,公费生,government-supportedstudent,np
1513,,实习生,intern,np
1514,,走读生,day-student,np
1515,,旁听生（美）,auditor,np
1516,,奖学金生,prize fellow,np
1517,,留学生,abroad student,np
1518,,学位,degree,np
1519,,硕士,master,np
1520,,博士后,post doctorate,np
1521,,学年,academic year,np
1522,,在职培训,in-job training,np
1523,,课程,curriculum,np
1524,,专门课程,specialized courses,np
1525,,主修,major,np
1526,,有才干的，能干的,able,np
1527,,主动的，活跃的,active,np
1528,,有雄心壮志的,ambitious,np
1529,,友好的,amicable,np
1530,,有理解力的,apprehensive,np
1531,,有合作精神的,cooperative,np
1532,,尽职的,dutiful,np
1533,,有幽默,humorous,np
1534,,稳健的,temperate,np
1535,,负责的,responsible,np
1536,,善于表达,expressivity,np
1537,,精力充沛的,energetic,np
