en,cn,ar,pos,,
Kiribati,基里巴斯,كيريباس,np,,
Kitchener,基奇纳,كيتشنر,np,,
Kolkata,加尔各答,كولكاتا,np,,
Kosovo,科索沃,كوسوفو,np,,
Kuala Lumpur,吉隆坡,كوالا لامبور,np,,
Kuwait,科威特,الكويت,np,,
Kyrgyzstan,吉尔吉斯斯坦,قرغيزستان,np,,
"Ladies and gentlemen, we are approaching an area of turbulence.",各位旅客请注意，本班机即将行经乱流区。,سيداتي ساداتي، نحن نقترب من منطقة ذات مطبات هوائية,sent,,
ladle,长把勺,مغرفة,np,,
Lagos,拉各斯,لاغوس,np,,
Lahore,拉合尔,لاهور,np,,
landing,着陆,هبوط,np,,
lane,胡同,مسار,np,,
Laos,老挝,لاوس,np,,
lap-top,手提电脑,حاسوب محمول,np,,
Laptop computers must be removed from carry-on and placed on X-ray.,笔记本电脑从随身行李取出接受X光安检。,يجب إزالة الحواسيب المحمولة من حقائب اليد ووضعها على الأشعة السينية/أشعة الإكس راي.,sent,,
last week,上个星期,الأسبوع الماضي,np,,
later,迟一点,لاحقاً,adv,,
Latvia,拉脱维亚,لاتفيا,np,,
laundry,洗衣店,غسيل الملابس,np,,
Laundry Service.,提供洗烫服务。,خدمة غسيل الملابس,sent,,
lavatory,盥洗室,حمّام,np,,
lavender cappuccino,薰衣草卡布奇诺,كابوتشينو خزامي,np,,
lavender latte,薰衣草咖啡拿铁,لاتيه خزامي,np,,
Leave me alone.,不要打扰我。,اتركني وحدي.,sent,,
Lebanon,黎巴嫩,لبنان,np,,
left,左边,يسار,adv,,
left baggage,行李寄存,أمتعة متروكة,np,,
Left Baggage.,行李寄存。,أمتعة متروكة,sent,,
legislators &administrators,行政管理人员,المشرعون والأداريون,np,,
legs,腿,أرجل,np,,
Leicester,莱斯特,ليستر,np,,
lemon,柠檬,ليمون,np,,
Lesotho,莱索托,ليسوتو,np,,
less,少,اقل,adj,,
less than,少于,أقل من,adj,,
Let me check the availability.,让我看看还有票吗。,دعني أتأكد من التوافر,sent,,
Let me help you with your luggage.,让我帮你拿行李吧。,دعني أساعدك بأمتعتك,sent,,
Let me introduce you to eath other.,让我来给你们相互介绍。,دعني آعرفكم على بعضكم,sent,,
Let me see.,让我看一下。,دعنى أرى.,sent,,
Let us raise the glass to friendship.,为我们的友谊举杯。,دعني أرفع الكأس لصداقتنا,sent,,
Let's change restaurants.,我们换个饭店吧。,فلنغير المطاعم,sent,,
Let's choose the least expensive restaurant today.,我们今天选家最便宜的餐馆吧。,فلنختار المطعم الأقل تكلفة اليوم,sent,,
Let's get a shopping cart first.,我们先去找个购物车。,فلنحضر عربة تسوق أولاً,sent,,
Let's go for coffee.,我们去喝杯咖啡吧。,فلنذهب لاحتساء قهوة,sent,,
Let's go grocery shopping,我们去超市买东西吧,فلنذهب للتسوق في البقالة,sent,,
Let's go to the parking space directly.,我们直接去停车场吧。,فلنذهب إلى منطقة المواقف مباشرة,sent,,
Let's go to the supermarket.,我们去超市吧。,فلنذهب إلى المتجر ,sent,,
Let's have a toast!,让我们来干一杯!,فلنقوم بإيداء نخب,sent,,
Let's just have another toast.,让我们再次举杯庆祝。,فلنقم فقط بإيداء نخب آخر,sent,,
Let's stop at a coffee shop.,让我们在咖啡店歇会儿。,فلنتوقف عند مقهى,sent,,
Liberia,利比里亚,ليبيريا,np,,
Libya,利比亚,ليبيا,np,,
Liechtenstein,列支敦士登,ليختنشتاين,np,,
Lima,利马,ليما,np,,
Lisbon,里斯本,لشبونة,np,,
Lithuania,立陶宛,ليتوانيا,np,,
Liverpool,利物浦,ليفربول,np,,
lockers,储物柜,خزانات,np,,
London,伦敦,لندن,np,,
Look out!,小心！,انتبه!,sent,,
lost and found,失物招领处,المفقودات والمعثورات,np,,
Lost Child Information.,走失儿童认领。,معلومات طفل ضائع,sent,,
lost property,失物招领,ممتلكات ضائعة,np,,
lounge pavilion,贵宾候机亭,جناح الردهة,np,,
Lounge Pavilion.,贵宾候机亭。, جناح الردهة,sent,,
Lucknow,勒克瑙,لكناو,np,,
luggage,行李,أمتعة,np,,
Luggage Car.,行李车。,سيارة أمتعة,sent,,
luggage cart,行李推车,عربة أمتعة,np,,
luggage claim,行李领取处,استلام الأمتعة,np,,
Luggage Delivery.,行李交付。,توصيل الأمتعة,sent,,
luggage depository,行李存放处,استيداع الأمتعة,np,,
luggage from flights,到港行李,أمتعة من الرحلات الجوية,np,,
Luggage Inspection.,行李检查台。,تفتيش الأمتعة,sent,,
luggage locker,行李暂存箱,خزانات الأمتعة,np,,
luggage pick up,取行李,استلام الأمتعة,np,,
luggage reclaim,取行李,إعادة استلام الأمتعة,np,,
Luggage Storage (Counter).,行李寄存（处）。,شباك تخزين الأمتعة,sent,,
Luggage Weighting.,行李称重处。,وزن الأمتعة,sent,,
lunch,午饭,غداء,np,,
Luxembourg,卢森堡,لوكسمبورغ,np,,
Lyon,里昂,ليون,np,,
macaroni,通粉,معكرونة,np,,
Macau,澳门,ماكاو,np,,
Macedonia,马其顿,مقدونيا,np,,
Madagascar,马达加斯加,مدغشقر,np,,
Madrid,马德里,مدريد,np,,
maggi,美极油,ماجي,np,,
main lobby,主候机厅,الردهة الرئيسية,np,,
major,主修,أساسي,np,,
Making Your Stay A Complete Success Is Our Goal.,让您居住的完全满意是我们的宗旨。,هدفنا هو أن نجعل فترة بقاؤك معنا نجاح.,sent,,
Malawi,马拉维,مالاوي,np,,
Malaysia,马来西亚,ماليزيا,np,,
Maldives,马尔代夫,جزر المالديف,np,,
male,男的,الذكر,np,,
Mali,马里,مالي,np,,
Malta,马耳他,مالطا,np,,
Manager On Duty.,值班经理。,مانشيستر في الخدمة,sent,,
Manchester,曼彻斯特,مانشستر,np,,
mango,芒果,مانجو,np,,
mango mocha,芒果摩卡咖啡,موكا المانجا,np,,
Manila,马尼拉,مانيلا,np,,
Many cafes are now equipped with Wi-Fi.,现在很多咖啡店都装有无线网络。,الكثير من المقاهي الآن مزودة بالإنترنت.,sent,,
March,三月,مارس,np,,
marital status,婚姻状况,الحالة الاجتماعية,np,,
marmalade,酸果酱,مربى الحمضيات,np,,
marriage,婚姻,زواج,np,,
married,已婚,متزوج,np,,
Marseille,马赛,مرسيليا,np,,
Marshall Islands,马绍尔群岛,جزر مارشال,np,,
master,硕士,سيد/رئيسي,np,,
Mauritania,毛里塔尼亚,موريتانيا,np,,
Mauritius,毛里求斯,موريشيوس,np,,
Maximum storage.,最高限重。,السعة القصوى,sent,,
May,五月,مايو,np,,
May I ask where you come from?,我可以问一下你从哪里来吗?,هل لي أن أسألك أنت من أين؟,sent,,
May I check in here for flight to *?,这里是去*的航班登机手续办理处吗?,هل لي أن أتأكد هنا لرحلة إلى *؟,vp,,
May I get a high chair for the baby?,我可以给婴儿拿个高脚椅吗?,هل لي بالحصول على كرسي عالي للطفل؟,sent,,
May I have a bottle of *?,可以来一瓶*吗？,هل لي بالحصول على قارورة *؟,vp,,
May I have a cup of *?,可以来一杯*吗？,هل لي بالحصول على كوب من *؟,vp,,
May I have a doggy bag?,我可以打包吗?,هل لي بكيس أو علبة لحفظ الطعام؟,sent,,
"May I have a drink, please?",给我一些饮料可以吗?,هل لي بمشروب من فضلك؟,sent,,
May I have a glass of *?,可以来一杯*吗？,هل لي بالحصول على كأس من *؟,vp,,
"May I have another black coffee, please?",请再给我一杯黑咖啡好吗？,هل لي بالحصول على قهوة سوداء ثانية من فضلك؟,sent,,
May I have some *?,可以来一点*吗？,هل بوسعي الحصول على بعض *؟,vp,,
"May I have your name and phone number, please?",能告诉我你的名字和电话吗?,هل يمكنني الحصول على اسمك ورقم هاتفك من فضلك؟,sent,,
"May I have your name, please?",请把你的名字告诉我好吗?,هل لي بإسمك، رجاء؟,sent,,
May I have your name?,请问您的姓名?,هل لي بإسمك؟,sent,,
May I have your passport please?,可以给我您的护照吗。,هل بوسعيّ أخذ جواز سفرك، لو سمحت؟,sent,,
May I have your telephone number and address?,我可以得到你的电话号码和地址吗?,هل بوسعي الحصول على رقم هاتفك وعنوانك؟,sent,,
May I help you?,我能为你效劳吗?,هل بوسعي مساعدتك؟,sent,,
"May I please ask, what is your name?",请问你叫什么名?,هل لي بالسؤال، ما هو اسمك؟,sent,,
May I see the room first?,请问我可以先看一下房间吗？,هل لي برؤية الغرفة أولاً؟,sent,,
"May I see your passport, please?",可以看看你的护照吗?,هل بوسعي رؤية الغرفة أولاً؟,sent,,
mcdonald-douglas,麦道,ماكدونالد-دوغلاس,np,,
Me too.,我也是,أنا أيضاً,sent,,
Mecca,麦加,مكة المكرمة,np,,
Medellin,麦德林,ميديلين,np,,
Medical emergency,医疗急诊,طارئ طبي,np,,
Melbourne,墨尔本,ملبورن,np,,
men,男人,رجال,np,,
men's bathroom,男厕,حمّام الرجال,np,,
menu,菜单,لائحة الطعام,np,,
metallic,金属的, معدني,np,,
Mexico,墨西哥,المكسيك,np,,
Mexico City,墨西哥城,المكسيك المدينة,np,,
Micronesia,密克罗尼西亚,ميكرونيزيا,np,,
midnight,半夜,منتصف الليل,np,,
Milan,米兰,ميلان,np,,
milk,牛奶,حليب,np,,
million,一百万,مليون,num,,
minor,副修,قاصر/ثانوي,np,,
miss,小姐,آنسه,np,,
Missing People Help Line.,走失求救热线。,خط مساعدة الأشخاص المفقودين,sent,,
mobile telephone,移动电话,هاتف نقال,np,,
modest,谦虚的,متواضع,np,,
Moldova,摩尔多瓦,مولدوفا,np,,
Monaco,摩纳哥,موناكو,np,,
Monday,星期一,الاثنين,np,,
money,金钱,نقود,np,,
money exchange,货币兑换处,صرف الأموال,np,,
Mongolia,蒙古,منغوليا,np,,
Montenegro,黑山,الجبل الأسود,np,,
month,月,شهر,np,,
Montpellier,蒙彼利埃,مونبلييه,np,,
Montreal,蒙特利尔,مونتريال,np,,
more,更,أكثر,adj,,
more than,多于,أكثر من,adj,,
morning,早上,صباح,np,,
Morning. May I help you?,早上好，请问有什么可以帮你的吗?,صباح الخير، هل بوسعي مساعدتك؟,sent,,
Morocco,摩洛哥,المغرب,np,,
Moscow,莫斯科,موسكو,np,,
mother,妈妈,أم,np,,
mother-in-law,婆婆,حماة,np,,
Mozambique,莫桑比克,موزمبيق,np,,
mr,先生,سيد,np,,
mrs,太太,سيدة,np,,
ms,小姐,آنسه,np,,
msg,味精,,np,What is this?,
Much better. Thank you.,好多了，谢谢。,أفضل بكثير. شكراً.,sent,,
Mumbai,孟买,مومباي,np,,
Munich,慕尼黑,ميونيخ,np,,
mustard,芥末,خردل,np,,
mutton,羊肉,لحم الضأن,np,,
My car is waiting outside.,我的车停在外面。,سيارتي في الخارج,sent,,
My fish is not cooked enough.,我的鱼没做熟。,إن سمكي ليس مطهو بما فيه الكفاية,sent,,
My job is to teach students.,我的工作是教学生。,عملي هو أن أدرس الأطفال,sent,,
My name is * .,我叫 * 。,اسمي *.,vp,,
My nationality is *.,我的国籍是*。,جنسيتي هي *.,vp,,
My number is *.,我的电话*。,رقمي هو *.,vp,,
My parents and my younger sister.,父母和我的妹妹。,والداي وأختي الصغيرة,sent,,
My steak is raw.,我的牛排是生的。,إن شريحة اللحم خاصتي نيئه,sent,,
My steak is tough and overdone.,我的牛排太硬过熟了。,إن شريحة اللحم خاصتي يابسة ومطهوة أكثر من اللازم,sent,,
My surname is *.,我姓 *。,لقبي هو *.,vp,,
My telephone number is *.,我的电话号码是*。,رقم هاتفي هو *.,vp,,
Myanmar,缅甸,ميانمار,np,,
nails,指甲,"أظافر (fingernails), مسامير (hammering nails)",np,,
Nairobi,内罗毕,نيروبي,np,,
name,姓名,اسم,np,,
name of passenger,旅客姓名,اسم الراكب,np,,
Namibia,纳米比亚,ناميبيا,np,,
Nantes,南特,نانت,np,,
napkin,餐巾,منديل,np,,
national ID,证件,الهوية الوطنية,np,,
nationality,国籍,جنسية,np,,
native place,籍贯,المكان الأصلي,np,,
Nauru,瑙鲁,ناورو,np,,
neck,脖子,رقبة,np,,
Nepal,尼泊尔,نيبال,np,,
nephew,侄儿,ابن أخ/ ابن أخت,np,,
net weight,净重,الوزن الصافي,np,,
Netherlands,荷兰,هولندا,np,,
Never Open Door Prior To Verifying ID.,没有确认对方身份绝对不能开门。,لا تفتح أبداً قبل تأكيد هويتك,sent,,
New York City,纽约市,نيويورك,np,,
New Zealand,新西兰,نيوزيلاندا,np,,
Newcastle,新城堡,نيوكاسل,np,,
newspaper,报纸,جرائد,np,,
next week,下个星期,الأسبوع القادم,np,,
Nicaragua,尼加拉瓜,نيكاراغوا,np,,
Nice,尼斯,لطيف,np,,
Nice to meet you.,很高兴认识你。,سعيد بالتعرف عليك,sent,,
niece,侄女,ابنة أخ/ ابن أخت,np,,
Niger,尼日尔,النيجر,np,,
Nigeria,尼日利亚,نيجيريا,np,,
night,晚上,ليلة,np,,
Night Porter On Duty.,夜间有行李搬运服务生。,حامل أمتعة ليلي في الخدمة,sent,,
nine,九,تسعة,num,,
no admittance,闲人免进,ممنوع الدقول,np,,
no bills,不准张贴,لا فواتير,np,,
"No cream, please.",请不要加奶油。,بلا كريمه من فضلك,sent,,
no entry,禁止入内,ممنوع الدخول,np,,
no honking,禁止鸣喇叭,ممنوع استخدام الزمور/بوق السيارة,np,,
no litter,勿乱扔杂物,ممنوع إلقاء القمامة,np,,
No parking.,禁止停车,ممنوع الوقوف,sent,,
no passing,禁止通行,ممنوع العبور,np,,
no photos,请勿拍照,ممنوع التصوير,np,,
No Service Fee.,免收服务费用。,لا يوجد رسوم على الخدمة,sent,,
no smoking,禁止吸烟,ممنوع التدخين,np,,
no smoking except in designated area,除指定区域外，禁止吸烟,يمنع التدخين إلا في المكان المخصص,np,,
No Smoking Except In Designated Area.,除指定区域外，禁止吸烟。,يمنع التدخين إلا في المكان المخصص,sent,,
no u turn,禁止掉头,ممنوع الانعطاف,np,,
no visitors,游人止步,ممنوع الزوار,np,,
"No, I don't think we've met.",不，我想没见过面。,لا، لا أعتقد أننا قد التقينا من قبل.,sent,,
"No, I haven't reserved in advance.",没有，我事先没有预订。,لا، لم أحجز من قبل.,sent,,
"No, it's for my friend.",不，是我的朋友。,لا، إنه لصديق لي.,sent,,
"No, not at all. there you go.",没关系，给你。,لا، أبداً. هاك، تفضل.,sent,,
"No, Sir/Madam Just show your ticket to the boarding officer as you get on the plane.",没有，小姐。您登机时只要向工作人员出示机票就可以了。,لا، سيدي/سيدتي. فقط أر تذكرتك إلى موظف صعود الركاب قبل أثناء ركوبك الطائرة.,sent,,
"No, thank you.",不用了，谢谢。,لا، شكراً.,sent,,
"No, that's not possible.",不能。,لا، إن هذا ممكن.,sent,,
"No, we do not.",没有预订。,لا، نحن لا ....,sent,This is absolutely sensless without the presence of a verb in Arabic.,
"No,I'd rather have a glass of juice, please.",不，我更想要一杯果汁。,لا، أُفَضِّل الحصول على كأس عصير من فضلك.,sent,,
No.,不。,لا.,sent,,
non-smoking seat,非吸烟席,مقعد لغير المدخنين,np,,
non-smoking section,非吸烟区 ,قسم غير المدخنين,np,,
Non-smoking.,非吸烟区。,ممنوع التدخين,sent,,
non-stop flight,连续飞行,رحلة بلا توقف,np,,
noodles,面条,الشعيرية,np,,
noon,中午,الظهيرة,np,,
north,北,شمال,adv,,
North Korea,北朝鲜,كوريا الشمالية,np,,
Norway,挪威,النرويج,np,,
nose,鼻子,أنف,np,,
Not bad. We'll take it.,可以，就做这儿吧。,لا بأس. سنأخذه.,sent,,
not for sale,恕不出售,ليس للبيع,np,,
Not too far.,不太远,ليس بعيد جداً,sent,,
nothing to declare,无报关,لا شيء للإفصاح عنه,np,,
nothing to declare,无申报通道,لا شيء للإفصاح عنه,np,,
Notice On Luggage Check-In.,行包托运须知。,ملاحظة على تسجيل دخول الأمتعة,sent,,
Nottingham,诺丁汉,نوتنغهام,np,,
November,十一月,نوفمبر,np,,
now,现在,الآن,adv,,
Now put everything from your pockets in this tray and come through the detector.,现在请把口袋里的东西掏出来放在这里，从检测器走过。,الآن ضع كل شيء من جيوبك في هذه الصينية واعبر من خلال هذا الكاشف.,sent,,
Now you have been booked.,现在您已完成订位。,الآن لقد تم حجزك,sent,,
Number *.,数字 *.,رقم *,vp,,
number and street,街道及门牌号,رقم ومقعد,np,,
number of children,子女人数,عدد الأطفال,np,,
object,物品,شيء,np,,
occupation,职业,مهنة,np,,
occupational history,工作经历,التاريخ الوظيفي,np,,
occupied,有人,مشغول,np,,
October,十月,أكتوبر,np,,
off,关,مطفأ,np,,
off-job training,脱产培训,تدريب خارج العمل,np,,
office hours,办公时间,ساعات العمل,np,,
office phone,办公电话,هاتف العمل,np,,
official use only,官方填写,للاستخدام الرسمي فقط,np,,
offspring,后代,النسل,np,,
oil,油,زيت,np,,
"OK, I'll take it.",我要买这个。,حسناً، سآخذه.,sent,,
OK. And anything else I can do for you?,好的，还有什么别的需要吗?,حسناًً، وهل هناك أي شيء آخر بوسعي فعله لك؟,sent,,
OK. Anyting else?,好的，还要其它的吗?,حسناً، أي شيء آخر؟,sent,,
OK. I will take it.,好的，就这班。,حسناً، سآخذه.,sent,,
OK. I'll have that right out.,好的，我马上拿给你。,حسناً، سآخذ ذلك الآن.,sent,,
OK. Thank you and we look forward to your arrival.,好的，谢谢您，我们期盼您的到来。,حسناً. شكراً، ونحن متطلعين إلى وصولك.,sent,,
OK. We look forward to your visit.,好的，我们期待您的光临。,حسناً. شكراً، نحن متطلعين إلى زيارتك.,sent,,
"OK. Your name, please?",可以，请问您的名字?,حسناً. اسمك، من فضلك؟,sent,,
Okay.,好的,حسناًً,sent,,
olive oil,橄榄油,زيت زيتون,np,,
Oman,阿曼,سلطنة عمان,np,,
one,一,واحد,num,,
"One economy class seat, is that right?",一个经济舱座位，对吗？,مقعد اقتصادي، هل هذا صحيح؟,sent,,
"One extra pillow, please.",请再给我一个枕头。,وسادة إضافية، من فضلك.,sent,,
"One more, please.",请再给我一个。,واحد إضافي، من فضلك.,sent,,
one o'clock AM,凌晨一点钟,الساعة الواحدة صباحاً,np,,
one o'clock PM,下午一点钟,الساعة الواحدة مساءً,np,,
"One ticket to *, please.",要一张去*的票，谢谢,تذكرة واحدة إلى *.,vp,,
one way,单行道,اتجاه واحد,adv,,
One way.,单程。,إتجاه واحد,sent,,
one-way ticket,单程机票,تذكرة ذات إتجاه واحد,np,,
onion,洋葱,بصل,np,,
Only first class tickets are available.,现在只有头等舱了。,فقط تذاكر الدرجة السياحية متوفرة,sent,,
open,营业,مفتوح,adj,,
to open,打开,لفتح,vp,,
orange,橙子,برتقال,np,,
orange color,橙色,برتقالي,adj,,
orange juice,柳橙汁,عصير برتقال,np,,
Osaka,大阪,أوساكا,np,,
Oslo,奥斯陆,أوسلو,np,,
others,其他,الغير,np,,
Ottawa,渥太华,أوتاوا,np,,
Our chef is trying his best.,我们的厨师正在尽最大的努力。,إن رئيس طهاتنا يحاول بأقصى بجهده,sent,,
Our seats are separated.,我们的座位是分开的。,مقاعدنا منفصلة,sent,,
Our table number is *.,我们预订桌号是*。,إن رقم طاولتنا هو *.,vp,,
Our waiter will show you to your table.,我们的服务生会带您到餐位。,نادلنا سيريكم طاولتكم,sent,,
Our waitress will be with you in a moment.,服务员马上就来。,نادلتنا ستكون معكم لخدمتكم في لحظات,sent,,
Our waitress will get you tea in a minute.,服务员马上就给您上茶。,نادلتنا ستحضر لكم الشاي في لحظات,sent,,
Outdoor Swimming Pools.,室外泳池。,أحواض سباحة خارجية,sent,,
oxygen mask,氧气罩,قناع أوكسيجين,np,,
oyster sauce,蚝油,صلصة المحار,np,,
pain killer,止痛药,مسكن ألم,np,,
painful,痛。,مؤلم,adj,,
Pakistan,巴基斯坦,باكستان,np,,
Palau,帕劳,بالاو,np,,
Panama,巴拿马,بناما,np,,
Panama City,巴拿马城,مدينة باناما,np,,
paper napkin,纸巾,منديل ورقي,np,,
Papua New Guinea,巴布亚新几内亚,بابوا غينيا الجديدة,np,,
Paraguay,巴拉圭,باراغواي,np,,
Pardon me?,可以再重复一遍吗？,عذراً/معذرة؟,sent,,
parents,父母,والدين,np,,
Paris,巴黎,باريس,np,,
parting,停车处,تقسيم,np,,
passenger manifest,乘客名单,بيان الركاب,np,,
passenger plane,客机,طائرة ركاب,np,,
"Passengers in the first class, please proceed to the boarding gate now.",请头等舱的旅客前往登机门。,ركاب الدرجة الأولى، يرجى التوجه نحو بوابة الصعود الآن.,sent,,
passport,护照,جواز سفر,np,,
passport control,入境检验,مراقبة الركاب,np,,
passport control immigration,护照检查处,مراقبة الركاب الهجرة,np,,
passport no,护照号,رقم الجواز,np,,
Past the *.,传*,بعد ال*. / بعد أن تتخطى ال*.,vp,,
pause,暂停,توقف مؤقت,np,,
pay,付,ادفع,vp,,
Pay Phone,付费电话,هاتف العملة,sent,,
peach latte,蜜桃咖啡拿铁,لاتيه الخوخ,np,,
peanut,花生酱,فول سوداني,np,,
pen,笔,قلم حبر,np,,
pen name,笔名,اسم مستعار,np,,
pencil,铅笔,قلم رصاص,np,,
pepper,胡椒,فلفل,np,,
pepper shaker,胡椒瓶,قنينة رش الفلفل الأسود,np,,
permanent address,永久住址,عنوان دائم,np,,
Perth,珀斯,بيرث,np,,
Peru,秘鲁,بيرو,np,,
petrol,汽油,بترول,np,,
Philippines,菲律宾,الفلبين,np,,
Phnom Penh,金边,بنوم بنه,np,,
pickle,咸菜,مخلل,np,,
pillow,枕头,وسادة,np,,
Pilot's Cockpit.,飞行员驾驶舱。,قمرة قيادة الطيار,sent,,
plane no,机号,رقم الطيارة,np,,
plane ticket,飞机票,تذكرة الطيارة,np,,
Please accept our apology.,请接受我们的道歉。,أرجو قبول اعتذارنا.,sent,,
Please be more careful in the future.,请以后多多注意。,أرجوك كم حذراً أكثر في المستقبل,sent,,
Please be there * at the latest.,最晚请在*到那里。,أرجوك كن هناك  * على أبعد تقدير.,vp,,
Please Call The Hotel Operator For More Information.,可以打电话询问酒店接线员更多信息。,أرجوك اتصل على عميل الفندق للمزيد من المعلومات,sent,,
Please cancel my order if the food is not ready.,如果饭菜没做好的话请取消我的点餐吧。,أرجوك ألغي طلبي إذا كان الطعام ليس جاهزاً بعد.,sent,,
Please check in at the airport two hours before departure.,请于起飞前*小时到机场办理登机手续。,أرجوك سجل دخولك في المطار ساعتين قبل إقلاع الطائرة,vp,,
Please check-in at zone *,请到*区办理登机手续。,أرجوك سجل الدخول في منطقة *.,sent,,
Please clean my room.,请清洁我的房间,من فضلك نظف غرفتي.,sent,,
Please clean up the table.,请收拾一下桌子。,من فصلك نظف الطاولة.,sent,,
Please clear the plates.,请洗干净这些碟子,من فضلك نظف الصحون.,sent,,
Please come over for inspection.,请过来接受检查。,من فضلك تعال هنا للتفتيش.,sent,,
Please come this way.,请往这边走。,من فضلك تعال من هنا.,sent,,
Please come with me.,请跟我过来,أرجوك، تعال/تعالي معي.,sent,,
Please do and hurry up!,请快一点!,أرجوم أسرع!,sent,,
Please follow me.,请跟我来。,من فضلك اتبعني,sent,,
Please follow the signs for zone R to check in.,请沿着标志引导到Ｒ区办理登机手续。,من فضلك اتبع الأسهم إلى منطقة R لتسجيل الدخول,sent,,
Please give me *.,请给我*。,من فضلك أعطني *.,vp,,
Please give me the paper towel.,请给我些纸巾。,من فضلك أعطني منديل ورقي آخر,sent,,
Please give me your baggage claim tag.,请给我你的行李领取牌。,من فضلك أعطني بطاقة استلام أمتعتك,sent,,
Please go to the transfer counter.,请到转机柜台办理。,من فضلك اذهب إلى شباك التحويل,sent,,
Please have photo identification ready for inspection.,请准备好带照片的身份证接受检查。,من فضلك أبق صورة شخصية جاهزة للتفتيش.,sent,,
Please have your luggage checked.,请自觉接受行包安检。,من فضلك دع أمتعتك للتفتيش,sent,,
Please have your ticket or boarding card ready for inspection.,请把机票和登机牌准备好接受检查。,من فضلك أبق تذكرتك و بطاقة الصعود جاهزة للصعود,sent,,
Please Keep Valuables With You.,贵重物品随身携带/贵重物品请自行妥善保管。,من فضلك أبق كل ممتلكاتك الثمينة معك,sent,,
Please keep your seat belt fastened.,请系好安全带。,من فضلك أبق حزام المقعد مثبت,sent,,
please leave your luggage with you at all times,请随身携带你的行李,من فضلك أبق أمتعتك معك في جميع الأوقات,np,,
Please let us pass.,请让我们借过一下。,من فضلك دعني أمُرّ,sent,,
Please open your bag. We'd like to have a look.,请把你的包打开，我们要检查一下。,من فضلك افتح حقيبتك.,sent,,
Please pack the leftovers for me.,请帮我把剩菜打包。,من فضلك احزم ما تبقى من الطعام لي.,sent,,
Please pass through the detector one by one.,请一个一个通过探测门。,يرجى العبور عبر الكاشف واحداً تلو الآخر,sent,,
Please pull your table down. It's supper time.,晚餐时间到了，请放下桌子。,من فضلك اسحب طاولتك نحو الأسفل. إنه وقت العشاء.,sent,,
Please put all carry-on luggage in a basket and then place it on the conveyor.,请把所有的随身行李放在一个筐里，然后把筐放在传送带上。,من فضلك ضع كل حقائب اليد في سلة و بعدها ضعها على الحزام الناقل,sent,,
"Please put all your metallic objects such as coin,cellphone,chewing gum,cigarettes,and anything with Aluminum foil into the basket.",请把您随身携带的所有金属物品，如硬币、手机、口香糖、香烟、以 及带锡纸的物品等放在篮子里。,من فضلم ضع كل أدواتك المعدنية كالعملة، الهاتف النقال، العلكة، وأي شي يحتوي على الألومنيوم في السلة,sent,,
Please put it here.,请把它放在这里。,من فضلك ضعه هنا,sent,,
Please put me on the waiting list.,请把我列为候补。,من فضلك ضعني على لائحة الانتظار,sent,,
Please put your baggage on the scale.,请把您的行李放在磅秤上。,من فضلك ضع أمتعتك على الميزان,sent,,
Please put your package under your seat.,请把你的行李放在座位下面。,من فضلك ضع رزمتك تحت مقعدك,sent,,
Please queue for flights to * destinations.,请排队办理前往*各地的登机手续。,من فضلك اصطف للرحلات الجوية إلى * الوجهات.,sent,,
Please raise your arms.,请您抬起双臂。,من فضلك اررفع يديك.,sent,,
Please Return This Key Card To The Front Desk When You Check Out.,结账时请将钥匙卡归还前台。,من فضلك أعد هذا المفتاح إلي المكتب الرئيسي عندما تسجل الخروج.,sent,,
Please rush our order.,请快点做好我们的菜。,من فضلك عَجِّل طلبنا.,sent,,
Please sit down.,请坐。,من فضلك اجلس هنا.,sent,,
Please sit where you like.,请随意入座。,من فضلك اجلس أينما تريد,sent,,
Please Take care Of Your Belongings.,请保管好随身物品。,من فضلك اعتني بممتلكاتك,sent,,
Please take off your shoes.,请脱掉您的鞋子。,من فضلك اخلع حذائك,sent,,
Please take seats.,请坐。,من فضلكم خذوا مقاعد,sent,,
Please take your computer out and put it in the basket.,请把您的电脑从包里取出放入筐里。,من فضلك أخرج حاسوبك وضعه داخل السلة,sent,,
Please tell me your name.,请告诉我您的名字。,من فضلك أخبرني باسمك,sent,,
Please turn up the AC.,请把空调开大一点。,من فضلك أبرد المكيف الهوائي,sent,,
Please unbutton your coat.,请把您的衣扣打开。,من فضلك فك أزرار قميصك,sent,,
Please use the meter machine.,请打表。,من فضلك استعمل آلة السحب ببطاقة الائتمان.,sent,,
Please wait a moment.,请稍等一会。,من فضلك انتظر للحظة,sent,,
Please wait here or take advantage until our hostess escorts to your table.,请稍等或自便，有人会领你入座。,من فضلك انتظر هنا أو استغل إلى أن ترافقك مضيفتنا إلى طاولتك,sent,,
Please.,请。,من فضلك.,adv,,
pocket,口袋,جيب,np,,
poison,有毒,سم,np,,
Poland,波兰,بولندا,np,,
police,警察,الشرطة,np,,
pork,猪肉,لحم خنزير,np,,
Porridge.,白粥。,عصيدة/حساء الشعير,sent,,
Port Moresby,端口莫尔兹比港,مرفئ مويسبي,np,,
Porto,波尔图,بورتو,np,,
Portugal,葡萄牙,البرتغال,np,,
post doctorate,博士后,دراسات ما بعد الدكتوراة,np,,
post office,邮局,مكتب البريد,np,,
postage stamp,邮票,طابع بريدي,np,,
postal code,邮政编码,الرمز البريدي,np,,
